Rank	Gene	Entrez ID	Coexpression Score	P-Value	Description
1	ASH1L-AS1	645676	0.7862	0.0000	ASH1L antisense RNA 1 (non-protein coding)
2	ZNF704	619279	0.7677	0.0000	zinc finger protein 704
3	RUNX1T1	862	0.7508	0.0002	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)
4	PPP1R3A	5506	0.7482	0.0000	protein phosphatase 1, regulatory subunit 3A
5	PDE1A	5136	0.7431	0.0000	phosphodiesterase 1A, calmodulin-dependent
6	SLC2A1	6513	0.7385	0.0000	solute carrier family 2 (facilitated glucose transporter), member 1
7	BDNF-AS	497258	0.7357	1.0000	BDNF antisense RNA (non-protein coding)
8	NTRK2	4915	0.7192	0.0005	neurotrophic tyrosine kinase, receptor, type 2
9	KIAA1549	57670	0.7062	0.0000	KIAA1549
10	CYP27B1	1594	0.7046	0.0001	cytochrome P450, family 27, subfamily B, polypeptide 1
11	PGAP1	80055	0.7023	0.0001	post-GPI attachment to proteins 1
12	ADAD1	132612	0.6985	0.0000	adenosine deaminase domain containing 1 (testis-specific)
13	ADAM22	53616	0.6962	0.0025	ADAM metallopeptidase domain 22
14	ST7-AS1	93653	0.6938	0.0000	ST7 antisense RNA 1 (non-protein coding)
15	C20ORF26	26074	0.6931	0.0000	chromosome 20 open reading frame 26
16	COL12A1	1303	0.6923	0.0007	collagen, type XII, alpha 1
17	FAM65C	140876	0.6908	0.0000	family with sequence similarity 65, member C
18	MFAP3L	9848	0.6900	0.0000	microfibrillar-associated protein 3-like
19	FER1L4	80307	0.6885	0.0002	fer-1-like 4 (C. elegans) pseudogene
20	CDH8	1006	0.6862	0.0000	cadherin 8, type 2
21	C10ORF40	283025	0.6836	1.0000	chromosome 10 open reading frame 40
22	SEMA4G	57715	0.6815	0.0015	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4G
23	SPAG4	6676	0.6769	0.0000	sperm associated antigen 4
24	DYRK3	8444	0.6754	0.0001	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3
25	GNG13	51764	0.6754	0.0000	guanine nucleotide binding protein (G protein), gamma 13
26	RHAG	6005	0.6692	0.0010	Rh-associated glycoprotein
27	C2ORF77	129881	0.6669	0.0003	chromosome 2 open reading frame 77
28	PDE4D	5144	0.6654	0.0001	phosphodiesterase 4D, cAMP-specific
29	GRB14	2888	0.6615	0.0000	growth factor receptor-bound protein 14
30	KHDRBS3	10656	0.6600	0.0000	KH domain containing, RNA binding, signal transduction associated 3
31	MPDZ	8777	0.6585	0.0050	multiple PDZ domain protein
32	AKAP6	9472	0.6569	0.0030	A kinase (PRKA) anchor protein 6
33	TBX18	9096	0.6531	0.0001	T-box 18
34	SGCD	6444	0.6531	0.0107	sarcoglycan, delta (35kDa dystrophin-associated glycoprotein)
35	EPHA3	2042	0.6523	0.0003	EPH receptor A3
36	MAGI1	9223	0.6500	0.0040	membrane associated guanylate kinase, WW and PDZ domain containing 1
37	ILDR2	387597	0.6500	1.0000	immunoglobulin-like domain containing receptor 2
