Rank	Gene	Entrez ID	Coexpression Score	P-Value	Description
1	SSBP2	23635	0.8111	0.0000	single-stranded DNA binding protein 2
2	NBEA	26960	0.7380	0.0003	neurobeachin
3	LRRC49	54839	0.7283	0.0000	leucine rich repeat containing 49
4	ALMS1	7840	0.7223	0.0000	Alstrom syndrome 1
5	TCF4	6925	0.7197	0.0001	transcription factor 4
6	UBR1	197131	0.7111	0.0011	ubiquitin protein ligase E3 component n-recognin 1
7	RAB3GAP1	22930	0.7060	0.0000	RAB3 GTPase activating protein subunit 1 (catalytic)
8	DYNC2H1	79659	0.7054	0.0004	dynein, cytoplasmic 2, heavy chain 1
9	KANSL1L	151050	0.6863	0.0000	KAT8 regulatory NSL complex subunit 1-like
10	RPS6KA6	27330	0.6857	0.0000	ribosomal protein S6 kinase, 90kDa, polypeptide 6
11	BBX	56987	0.6763	0.0009	bobby sox homolog (Drosophila)
12	SPATA6	54558	0.6651	0.0001	spermatogenesis associated 6
13	PALLD	23022	0.6634	0.0010	palladin, cytoskeletal associated protein
14	NFIB	4781	0.6591	0.0000	nuclear factor I/B
15	MID1	4281	0.6591	0.0000	midline 1 (Opitz/BBB syndrome)
16	CALD1	800	0.6586	0.0050	caldesmon 1
17	TEX9	374618	0.6579	0.0000	testis expressed 9
18	SLC25A12	8604	0.6529	0.0001	solute carrier family 25 (aspartate/glutamate carrier), member 12
19	LCA5	167691	0.6509	0.0006	Leber congenital amaurosis 5
20	CDC42EP3	10602	0.6509	0.0000	CDC42 effector protein (Rho GTPase binding) 3
21	MEIS2	4212	0.6489	0.0000	Meis homeobox 2
22	ANKRD42	338699	0.6471	1.0000	ankyrin repeat domain 42
23	VPS13C	54832	0.6454	0.0117	vacuolar protein sorting 13 homolog C (S. cerevisiae)
24	USP34	9736	0.6400	0.0060	ubiquitin specific peptidase 34
25	TOP2B	7155	0.6391	0.0165	topoisomerase (DNA) II beta 180kDa
26	SYNPO2	171024	0.6374	0.0021	synaptopodin 2
27	MLL5	55904	0.6326	0.0119	myeloid/lymphoid or mixed-lineage leukemia 5 (trithorax homolog, Drosophila)
28	NEK1	4750	0.6269	0.0009	NIMA (never in mitosis gene a)-related kinase 1
29	WDFY3	23001	0.6266	0.0055	WD repeat and FYVE domain containing 3
30	PLCB4	5332	0.6263	0.0000	phospholipase C, beta 4
31	ZNF462	58499	0.6254	0.0003	zinc finger protein 462
32	PGAP1	80055	0.6243	0.0008	post-GPI attachment to proteins 1
33	MLLT3	4300	0.6240	0.0000	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3
34	NME7	29922	0.6240	0.0003	NME/NM23 family member 7
35	ZC3H7A	29066	0.6231	0.0008	zinc finger CCCH-type containing 7A
36	MAP1B	4131	0.6229	0.0024	microtubule-associated protein 1B
37	TRPC1	7220	0.6200	0.0073	transient receptor potential cation channel, subfamily C, member 1
38	CSDE1	7812	0.6183	0.0014	cold shock domain containing E1, RNA-binding
39	GULP1	51454	0.6174	0.0002	GULP, engulfment adaptor PTB domain containing 1
40	EFHC1	114327	0.6169	0.0027	EF-hand domain (C-terminal) containing 1
41	GLT8D2	83468	0.6157	0.0060	glycosyltransferase 8 domain containing 2
42	MAMDC2	256691	0.6151	0.0000	MAM domain containing 2
43	KIAA1377	57562	0.6109	0.0021	KIAA1377
44	SUDS3	64426	0.6083	0.0003	suppressor of defective silencing 3 homolog (S. cerevisiae)
45	RAB28	9364	0.6074	0.0013	RAB28, member RAS oncogene family
46	KDELC2	143888	0.6074	0.0028	KDEL (Lys-Asp-Glu-Leu) containing 2
47	LOC344595	344595	0.6067	0.0002	uncharacterized LOC344595
48	BAZ2B	29994	0.6043	0.0186	bromodomain adjacent to zinc finger domain, 2B
49	TCF12	6938	0.6020	0.0120	transcription factor 12
50	MYLK	4638	0.5997	0.0031	myosin light chain kinase
51	C10ORF107	219621	0.5994	1.0000	chromosome 10 open reading frame 107
52	RARB	5915	0.5991	0.0011	retinoic acid receptor, beta
53	BBS9	27241	0.5926	0.0029	Bardet-Biedl syndrome 9
54	PHC3	80012	0.5897	0.0111	polyhomeotic homolog 3 (Drosophila)
55	ZFPM2	23414	0.5883	0.0002	zinc finger protein, multitype 2
56	ZNHIT6	54680	0.5877	0.0102	zinc finger, HIT-type containing 6
57	PHF17	79960	0.5874	0.0003	PHD finger protein 17
58	GLIS3	169792	0.5863	0.0001	GLIS family zinc finger 3
59	CLASP1	23332	0.5857	0.0047	cytoplasmic linker associated protein 1
60	CCP110	9738	0.5843	0.0020	centriolar coiled coil protein 110kDa
61	RYK	6259	0.5843	0.0014	receptor-like tyrosine kinase
62	VEZF1	7716	0.5840	0.0034	vascular endothelial zinc finger 1
63	MIER1	57708	0.5840	0.0115	mesoderm induction early response 1 homolog (Xenopus laevis)
64	TPM1	7168	0.5834	0.0029	tropomyosin 1 (alpha)
65	CRIM1	51232	0.5831	0.0031	cysteine rich transmembrane BMP regulator 1 (chordin-like)
66	ATAD2B	54454	0.5827	0.0115	ATPase family, AAA domain containing 2B
67	PDE1A	5136	0.5814	0.0006	phosphodiesterase 1A, calmodulin-dependent
68	CHST9	83539	0.5806	0.0000	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9
69	SCLT1	132320	0.5789	0.0038	sodium channel and clathrin linker 1
70	IFT80	57560	0.5786	0.0203	intraflagellar transport 80 homolog (Chlamydomonas)
71	ANGPTL1	9068	0.5777	0.0008	angiopoietin-like 1
72	STT3B	201595	0.5776	1.0000	STT3, subunit of the oligosaccharyltransferase complex, homolog B (S. cerevisiae)
73	TMOD2	29767	0.5766	0.0008	tropomodulin 2 (neuronal)
74	CUL4B	8450	0.5763	0.0063	cullin 4B
75	FAT4	79633	0.5760	0.0064	FAT tumor suppressor homolog 4 (Drosophila)
76	ZFP90	146198	0.5754	0.0128	zinc finger protein 90 homolog (mouse)
77	ARSJ	79642	0.5751	0.0016	arylsulfatase family, member J
78	YTHDC1	91746	0.5749	0.0167	YTH domain containing 1
79	TCEAL4	79921	0.5726	0.0052	transcription elongation factor A (SII)-like 4
80	PRKAA2	5563	0.5726	0.0010	protein kinase, AMP-activated, alpha 2 catalytic subunit
81	PLSCR4	57088	0.5723	0.0167	phospholipid scramblase 4
82	ATRX	546	0.5720	0.0185	alpha thalassemia/mental retardation syndrome X-linked
83	PHACTR2	9749	0.5694	0.0008	phosphatase and actin regulator 2
84	KIF3A	11127	0.5689	0.0022	kinesin family member 3A
85	ZC2HC1A	51101	0.5686	0.0018	zinc finger, C2HC-type containing 1A
86	PARVA	55742	0.5674	0.0088	parvin, alpha
87	ROBO1	6091	0.5666	0.0003	roundabout, axon guidance receptor, homolog 1 (Drosophila)
88	RNF150	57484	0.5657	0.0002	ring finger protein 150
89	LRBA	987	0.5637	0.0058	LPS-responsive vesicle trafficking, beach and anchor containing
90	LANCL1	10314	0.5631	0.0146	LanC lantibiotic synthetase component C-like 1 (bacterial)
91	LRCH2	57631	0.5617	0.0009	leucine-rich repeats and calponin homology (CH) domain containing 2
92	OXR1	55074	0.5609	0.0131	oxidation resistance 1
93	ARHGAP5	394	0.5600	0.0147	Rho GTPase activating protein 5
94	MED13L	23389	0.5597	0.0101	mediator complex subunit 13-like
95	EID1	23741	0.5589	0.0178	EP300 interacting inhibitor of differentiation 1
96	REV3L	5980	0.5577	0.0224	REV3-like, polymerase (DNA directed), zeta, catalytic subunit
97	DNAL1	83544	0.5566	0.0015	dynein, axonemal, light chain 1
98	EIF4G3	8672	0.5563	0.0037	eukaryotic translation initiation factor 4 gamma, 3
99	PTAR1	375743	0.5561	0.0162	protein prenyltransferase alpha subunit repeat containing 1
100	TTC21B	79809	0.5553	1.0000	tetratricopeptide repeat domain 21B
101	TIA1	7072	0.5546	0.0458	TIA1 cytotoxic granule-associated RNA binding protein
102	PPP1R12A	4659	0.5546	0.0506	protein phosphatase 1, regulatory subunit 12A
103	TMEM168	64418	0.5537	0.0083	transmembrane protein 168
104	CSDA	8531	0.5526	0.0007	cold shock domain protein A
105	MIPOL1	145282	0.5523	0.0003	mirror-image polydactyly 1
106	POLI	11201	0.5520	0.0225	polymerase (DNA directed) iota
107	CCDC146	57639	0.5506	0.0056	coiled-coil domain containing 146
108	ENAH	55740	0.5503	0.0017	enabled homolog (Drosophila)
109	SENP7	57337	0.5500	0.0294	SUMO1/sentrin specific peptidase 7
110	TRA2A	29896	0.5494	0.0013	transformer 2 alpha homolog (Drosophila)
111	AEBP2	121536	0.5494	0.0097	AE binding protein 2
112	C7ORF60	154743	0.5477	0.0149	chromosome 7 open reading frame 60
113	PCNXL4	64430	0.5474	0.0517	pecanex-like 4 (Drosophila)
114	RB1	5925	0.5457	0.0078	retinoblastoma 1
115	ODF2L	57489	0.5454	0.0013	outer dense fiber of sperm tails 2-like
116	PTBP2	58155	0.5451	0.0136	polypyrimidine tract binding protein 2
117	LHFP	10186	0.5446	0.0113	lipoma HMGIC fusion partner
118	USP48	84196	0.5443	0.0038	ubiquitin specific peptidase 48
119	GNG12	55970	0.5431	0.0080	guanine nucleotide binding protein (G protein), gamma 12
120	C11ORF70	85016	0.5426	0.0013	chromosome 11 open reading frame 70
121	PRKD3	23683	0.5426	0.0065	protein kinase D3
122	ZNF292	23036	0.5426	0.0260	zinc finger protein 292
123	LIMA1	51474	0.5423	0.0032	LIM domain and actin binding 1
124	IPW	3653	0.5412	0.0048	imprinted in Prader-Willi syndrome (non-protein coding)
125	MSRB3	253827	0.5409	0.0120	methionine sulfoxide reductase B3
126	CRYBG3	131544	0.5407	0.0021	beta-gamma crystallin domain containing 3
127	COL14A1	7373	0.5397	0.0103	collagen, type XIV, alpha 1
128	TSHZ3	57616	0.5389	0.0057	teashirt zinc finger homeobox 3
129	FNBP1L	54874	0.5386	0.0059	formin binding protein 1-like
130	LRRIQ1	84125	0.5382	1.0000	leucine-rich repeats and IQ motif containing 1
131	TEAD1	7003	0.5377	0.0035	TEA domain family member 1 (SV40 transcriptional enhancer factor)
132	BBS4	585	0.5374	0.0024	Bardet-Biedl syndrome 4
133	SCYL3	57147	0.5371	0.0122	SCY1-like 3 (S. cerevisiae)
134	KIF5B	3799	0.5366	0.0196	kinesin family member 5B
135	SLC18B1	116843	0.5366	0.0012	solute carrier family 18, subfamily B, member 1
