Rank	Gene	Entrez ID	Coexpression Score	P-Value	Description
1	FBN1	2200	1.5339	0.0000	fibrillin 1
2	FRMD6	122786	1.4014	0.0001	FERM domain containing 6
3	LHFP	10186	1.3718	0.0002	lipoma HMGIC fusion partner
4	GPX8	493869	1.3694	0.0002	glutathione peroxidase 8 (putative)
5	FSTL1	11167	1.3421	0.0010	follistatin-like 1
6	DCN	1634	1.3384	0.0027	decorin
7	ANTXR1	84168	1.3368	0.0001	anthrax toxin receptor 1
8	PDGFRA	5156	1.3365	0.0002	platelet-derived growth factor receptor, alpha polypeptide
9	LUM	4060	1.3183	0.0004	lumican
10	CDH11	1009	1.3107	0.0005	cadherin 11, type 2, OB-cadherin (osteoblast)
11	RECK	8434	1.3049	0.0027	reversion-inducing-cysteine-rich protein with kazal motifs
12	CALD1	800	1.2979	0.0038	caldesmon 1
13	FAT4	79633	1.2884	0.0008	FAT tumor suppressor homolog 4 (Drosophila)
14	GLT8D2	83468	1.2859	0.0012	glycosyltransferase 8 domain containing 2
15	COL12A1	1303	1.2849	0.0007	collagen, type XII, alpha 1
16	PDGFC	56034	1.2760	0.0001	platelet derived growth factor C
17	SNAI2	6591	1.2751	0.0001	snail homolog 2 (Drosophila)
18	VGLL3	389136	1.2652	0.0003	vestigial like 3 (Drosophila)
19	FKBP7	51661	1.2645	0.0017	FK506 binding protein 7
20	COL5A2	1290	1.2553	0.0017	collagen, type V, alpha 2
21	TMEM47	83604	1.2414	0.0009	transmembrane protein 47
22	PCDH18	54510	1.2386	0.0010	protocadherin 18
23	MIR100HG	399959	1.2364	0.0004	mir-100-let-7a-2 cluster host gene (non-protein coding)
24	COL1A2	1278	1.2279	0.0036	collagen, type I, alpha 2
25	MSRB3	253827	1.2171	0.0029	methionine sulfoxide reductase B3
26	PARVA	55742	1.2094	0.0036	parvin, alpha
27	NEXN	91624	1.2069	0.0012	nexilin (F actin binding protein)
28	EFEMP1	2202	1.2029	0.0013	EGF containing fibulin-like extracellular matrix protein 1
29	DDR2	4921	1.1978	0.0012	discoidin domain receptor tyrosine kinase 2
30	COL6A3	1293	1.1887	0.0016	collagen, type VI, alpha 3
31	HEG1	57493	1.1807	0.0027	HEG homolog 1 (zebrafish)
32	DKK3	27122	1.1797	0.0024	dickkopf 3 homolog (Xenopus laevis)
33	FLRT2	23768	1.1681	0.0004	fibronectin leucine rich transmembrane protein 2
34	CCDC80	151887	1.1643	0.0043	coiled-coil domain containing 80
35	COL3A1	1281	1.1635	0.0028	collagen, type III, alpha 1
36	MMP2	4313	1.1590	0.0048	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)
37	MYLK	4638	1.1530	0.0028	myosin light chain kinase
38	CAV1	857	1.1529	0.0026	caveolin 1, caveolae protein, 22kDa
39	PALLD	23022	1.1512	0.0029	palladin, cytoskeletal associated protein
40	ZEB1	6935	1.1494	0.0035	zinc finger E-box binding homeobox 1
41	ECM2	1842	1.1460	0.0032	extracellular matrix protein 2, female organ and adipocyte specific
42	HMCN1	83872	1.1453	0.0000	hemicentin 1
43	LAMC1	3915	1.1444	0.0045	laminin, gamma 1 (formerly LAMB2)
44	LTBP2	4053	1.1437	0.0103	latent transforming growth factor beta binding protein 2
45	COL5A1	1289	1.1425	0.0091	collagen, type V, alpha 1
46	NRP1	8829	1.1345	0.0011	neuropilin 1
47	COL1A1	1277	1.1341	0.0056	collagen, type I, alpha 1
48	PRICKLE2	166336	1.1275	0.0018	prickle homolog 2 (Drosophila)
49	CNRIP1	25927	1.1153	0.0016	cannabinoid receptor interacting protein 1
50	PRKD1	5587	1.1091	0.0016	protein kinase D1
51	SEMA3C	10512	1.1066	0.0013	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
52	PLSCR4	57088	1.0987	0.0116	phospholipid scramblase 4
53	TCF4	6925	1.0924	0.0020	transcription factor 4
54	CAV2	858	1.0923	0.0044	caveolin 2
55	NTN4	59277	1.0909	0.0002	netrin 4
56	RGL1	23179	1.0897	0.0039	ral guanine nucleotide dissociation stimulator-like 1
57	SDC2	6383	1.0893	0.0007	syndecan 2
58	LOX	4015	1.0876	0.0025	lysyl oxidase
59	RIN2	54453	1.0873	0.0022	Ras and Rab interactor 2
60	GLIS3	169792	1.0857	0.0002	GLIS family zinc finger 3
61	LAMB1	3912	1.0849	0.0026	laminin, beta 1
62	FILIP1L	11259	1.0826	0.0028	filamin A interacting protein 1-like
63	SYNPO2	171024	1.0779	0.0047	synaptopodin 2
64	SSPN	8082	1.0763	0.0059	sarcospan
65	CFH	3075	1.0749	0.0023	complement factor H
66	SLIT2	9353	1.0730	0.0013	slit homolog 2 (Drosophila)
67	ANTXR2	118429	1.0708	0.0052	anthrax toxin receptor 2
68	CRIM1	51232	1.0691	0.0034	cysteine rich transmembrane BMP regulator 1 (chordin-like)
69	FLJ42709	441094	1.0675	0.0012	uncharacterized LOC441094
70	BNC2	54796	1.0654	0.0042	basonuclin 2
71	PRRX1	5396	1.0649	0.0039	paired related homeobox 1
72	ABCA8	10351	1.0547	0.0017	ATP-binding cassette, sub-family A (ABC1), member 8
73	NR2F2	7026	1.0531	0.0010	nuclear receptor subfamily 2, group F, member 2
74	LAYN	143903	1.0520	0.0007	layilin
75	DAB2	1601	1.0506	0.0099	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)
76	ABI3BP	25890	1.0488	0.0012	ABI family, member 3 (NESH) binding protein
77	CYBRD1	79901	1.0466	0.0073	cytochrome b reductase 1
78	TGFB2	7042	1.0455	0.0027	transforming growth factor, beta 2
79	ADAMTS5	11096	1.0434	0.0011	ADAM metallopeptidase with thrombospondin type 1 motif, 5
80	VEGFC	7424	1.0430	0.0024	vascular endothelial growth factor C
81	RND3	390	1.0372	0.0058	Rho family GTPase 3
82	GXYLT2	727936	1.0334	0.0007	glucoside xylosyltransferase 2
83	SPARC	6678	1.0329	0.0132	secreted protein, acidic, cysteine-rich (osteonectin)
84	CYR61	3491	1.0292	0.0062	cysteine-rich, angiogenic inducer, 61
85	PAM	5066	1.0290	0.0152	peptidylglycine alpha-amidating monooxygenase
86	TGFB1I1	7041	1.0276	0.0129	transforming growth factor beta 1 induced transcript 1
87	FN1	2335	1.0274	0.0080	fibronectin 1
