Rank	Gene	Entrez ID	Coexpression Score	P-Value	Description
1	SCHIP1	29970	2.9491	0.0000	schwannomin interacting protein 1
2	FN1	2335	2.9177	0.0000	fibronectin 1
3	HEG1	57493	2.8613	0.0001	HEG homolog 1 (zebrafish)
4	FLRT2	23768	2.7857	0.0000	fibronectin leucine rich transmembrane protein 2
5	KCTD12	115207	2.7786	0.0000	potassium channel tetramerisation domain containing 12
6	LHFP	10186	2.7614	0.0009	lipoma HMGIC fusion partner
7	CALD1	800	2.7572	0.0026	caldesmon 1
8	GLIPR1	11010	2.7428	0.0007	GLI pathogenesis-related 1
9	FRMD6	122786	2.7318	0.0006	FERM domain containing 6
10	FBN1	2200	2.7210	0.0017	fibrillin 1
11	CCDC80	151887	2.7083	0.0014	coiled-coil domain containing 80
12	NEXN	91624	2.7080	0.0003	nexilin (F actin binding protein)
13	TMEM45A	55076	2.6929	0.0003	transmembrane protein 45A
14	FSTL3	10272	2.6598	0.0010	follistatin-like 3 (secreted glycoprotein)
15	SNAI2	6591	2.6357	0.0001	snail homolog 2 (Drosophila)
16	PTPRM	5797	2.6334	0.0006	protein tyrosine phosphatase, receptor type, M
17	COL1A1	1277	2.6252	0.0023	collagen, type I, alpha 1
18	LOX	4015	2.6143	0.0005	lysyl oxidase
19	VEGFC	7424	2.6008	0.0009	vascular endothelial growth factor C
20	CFL2	1073	2.5904	0.0010	cofilin 2 (muscle)
21	OSMR	9180	2.5825	0.0010	oncostatin M receptor
22	FERMT2	10979	2.5743	0.0034	fermitin family member 2
23	CDC42EP3	10602	2.5701	0.0000	CDC42 effector protein (Rho GTPase binding) 3
24	TCF4	6925	2.5667	0.0004	transcription factor 4
25	LOXL2	4017	2.5606	0.0018	lysyl oxidase-like 2
26	NAV1	89796	2.5391	0.0004	neuron navigator 1
27	PAPPA	5069	2.5273	0.0007	pregnancy-associated plasma protein A, pappalysin 1
28	MAP7D1	55700	2.5249	0.0060	MAP7 domain containing 1
29	EID1	23741	2.5246	0.0070	EP300 interacting inhibitor of differentiation 1
30	MXRA7	439921	2.5201	0.0011	matrix-remodelling associated 7
31	BASP1	10409	2.5091	0.0000	brain abundant, membrane attached signal protein 1
32	ANTXR1	84168	2.5080	0.0006	anthrax toxin receptor 1
33	FHOD3	80206	2.4883	0.0000	formin homology 2 domain containing 3
34	EFEMP1	2202	2.4692	0.0017	EGF containing fibulin-like extracellular matrix protein 1
35	HECW2	57520	2.4661	0.0001	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2
36	SRPX	8406	2.4659	0.0014	sushi-repeat containing protein, X-linked
37	PDGFC	56034	2.4649	0.0008	platelet derived growth factor C
38	DFNA5	1687	2.4543	0.0000	deafness, autosomal dominant 5
39	ABL2	27	2.4529	0.0010	v-abl Abelson murine leukemia viral oncogene homolog 2
40	CCBE1	147372	2.4513	0.0002	collagen and calcium binding EGF domains 1
41	DNAJB4	11080	2.4454	0.0045	DnaJ (Hsp40) homolog, subfamily B, member 4
42	ATP10D	57205	2.4451	0.0028	ATPase, class V, type 10D
43	MAP1B	4131	2.4438	0.0028	microtubule-associated protein 1B
44	ABI3BP	25890	2.4381	0.0008	ABI family, member 3 (NESH) binding protein
45	NEK1	4750	2.4289	0.0018	NIMA (never in mitosis gene a)-related kinase 1
46	NR3C1	2908	2.4258	0.0067	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)
47	CD109	135228	2.4167	0.0007	CD109 molecule
48	MYO5A	4644	2.4111	0.0009	myosin VA (heavy chain 12, myoxin)
49	GNAQ	2776	2.4100	0.0009	guanine nucleotide binding protein (G protein), q polypeptide
50	SRGN	5552	2.4084	0.0091	serglycin
51	SPARC	6678	2.4082	0.0086	secreted protein, acidic, cysteine-rich (osteonectin)
52	SERPINE1	5054	2.4026	0.0070	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1
53	LEPRE1	64175	2.4012	0.0042	leucine proline-enriched proteoglycan (leprecan) 1
54	SPHK1	8877	2.4007	0.0062	sphingosine kinase 1
55	KIF1B	23095	2.3858	0.0012	kinesin family member 1B
56	S1PR3	1903	2.3839	0.0000	sphingosine-1-phosphate receptor 3
57	RAB31	11031	2.3833	0.0034	RAB31, member RAS oncogene family
58	PLOD2	5352	2.3692	0.0022	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2
59	CHSY3	337876	2.3657	0.0006	chondroitin sulfate synthase 3
60	SUSD5	26032	2.3649	0.0000	sushi domain containing 5
61	IL6	3569	2.3644	0.0022	interleukin 6 (interferon, beta 2)
62	FAM176A	84141	2.3611	0.0002	family with sequence similarity 176, member A
63	TMEFF1	8577	2.3564	0.0006	transmembrane protein with EGF-like and two follistatin-like domains 1
64	SPOCK1	6695	2.3516	0.0006	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1
65	MPDZ	8777	2.3516	0.0089	multiple PDZ domain protein
66	CAPN2	824	2.3474	0.0050	calpain 2, (m/II) large subunit
67	AFP	174	2.3455	0.0000	alpha-fetoprotein
68	SLITRK5	26050	2.3363	0.0000	SLIT and NTRK-like family, member 5
69	SPG20	23111	2.3347	0.0027	spastic paraplegia 20 (Troyer syndrome)
70	DSE	29940	2.3343	0.0073	dermatan sulfate epimerase
71	MN1	4330	2.3332	0.0002	meningioma (disrupted in balanced translocation) 1
72	FSTL1	11167	2.3322	0.0115	follistatin-like 1
73	ADAMTS1	9510	2.3293	0.0006	ADAM metallopeptidase with thrombospondin type 1 motif, 1
74	RAB8B	51762	2.3284	0.0142	RAB8B, member RAS oncogene family
75	CDH11	1009	2.3256	0.0076	cadherin 11, type 2, OB-cadherin (osteoblast)
76	NEXN-AS1	374987	2.3187	0.0000	NEXN antisense RNA 1 (non-protein coding)
77	RAI14	26064	2.3127	0.0021	retinoic acid induced 14
78	GNG11	2791	2.3114	0.0036	guanine nucleotide binding protein (G protein), gamma 11
79	FAM126A	84668	2.3079	0.0025	family with sequence similarity 126, member A
80	PKIA	5569	2.3074	0.0002	protein kinase (cAMP-dependent, catalytic) inhibitor alpha
81	TRPC1	7220	2.3064	0.0130	transient receptor potential cation channel, subfamily C, member 1
82	GLTP	51228	2.2990	0.0001	glycolipid transfer protein
83	INHBA	3624	2.2971	0.0027	inhibin, beta A
84	CDK5RAP2	55755	2.2852	0.0006	CDK5 regulatory subunit associated protein 2
85	COL1A2	1278	2.2825	0.0105	collagen, type I, alpha 2
86	IFI16	3428	2.2818	0.0113	interferon, gamma-inducible protein 16
87	OSBPL6	114880	2.2761	0.0001	oxysterol binding protein-like 6
88	SNAPC1	6617	2.2757	0.0005	small nuclear RNA activating complex, polypeptide 1, 43kDa
89	TFPI2	7980	2.2734	0.0001	tissue factor pathway inhibitor 2
90	LGALS1	3956	2.2700	0.0141	lectin, galactoside-binding, soluble, 1
91	FAM129A	116496	2.2528	0.0006	family with sequence similarity 129, member A
92	CYR61	3491	2.2492	0.0066	cysteine-rich, angiogenic inducer, 61
93	TRAM2	9697	2.2470	0.0014	translocation associated membrane protein 2
94	KLC1	3831	2.2469	0.0077	kinesin light chain 1
95	ODZ2	57451	2.2463	0.0000	odz, odd Oz/ten-m homolog 2 (Drosophila)
96	THBS1	7057	2.2439	0.0075	thrombospondin 1
97	ADAMTS6	11174	2.2432	0.0008	ADAM metallopeptidase with thrombospondin type 1 motif, 6
98	DPY19L2	283417	2.2371	0.0000	dpy-19-like 2 (C. elegans)
99	TRIO	7204	2.2366	0.0048	trio Rho guanine nucleotide exchange factor
100	CDK17	5128	2.2290	0.0132	cyclin-dependent kinase 17
101	ELL2	22936	2.2167	0.0025	elongation factor, RNA polymerase II, 2
102	LAMC1	3915	2.2146	0.0101	laminin, gamma 1 (formerly LAMB2)
103	CFH	3075	2.2138	0.0043	complement factor H
104	LRP12	29967	2.2098	0.0046	low density lipoprotein receptor-related protein 12
105	CAV1	857	2.2077	0.0071	caveolin 1, caveolae protein, 22kDa
106	MAP9	79884	2.2075	0.0010	microtubule-associated protein 9
107	ESM1	11082	2.2049	0.0000	endothelial cell-specific molecule 1
108	MIR100HG	399959	2.2047	0.0027	mir-100-let-7a-2 cluster host gene (non-protein coding)
109	NPR3	4883	2.2043	0.0005	natriuretic peptide receptor C/guanylate cyclase C (atrionatriuretic peptide receptor C)
110	GPX8	493869	2.1995	0.0082	glutathione peroxidase 8 (putative)
111	PTRF	284119	2.1969	0.0253	polymerase I and transcript release factor
112	FAT4	79633	2.1966	0.0092	FAT tumor suppressor homolog 4 (Drosophila)
113	GPC6	10082	2.1962	0.0003	glypican 6
114	SS18	6760	2.1877	0.0035	synovial sarcoma translocation, chromosome 18
115	TUSC3	7991	2.1866	0.0004	tumor suppressor candidate 3
116	SOAT1	6646	2.1768	0.0172	sterol O-acyltransferase 1
117	DKK3	27122	2.1765	0.0086	dickkopf 3 homolog (Xenopus laevis)
118	ARMCX1	51309	2.1749	0.0031	armadillo repeat containing, X-linked 1
119	DNER	92737	2.1725	0.0002	delta/notch-like EGF repeat containing
120	AOX1	316	2.1699	0.0025	aldehyde oxidase 1
121	IPW	3653	2.1618	0.0048	imprinted in Prader-Willi syndrome (non-protein coding)
122	ADAMTS3	9508	2.1604	0.0002	ADAM metallopeptidase with thrombospondin type 1 motif, 3
123	LTBP2	4053	2.1583	0.0235	latent transforming growth factor beta binding protein 2
124	NEGR1	257194	2.1572	0.0012	neuronal growth regulator 1
125	QKI	9444	2.1569	0.0096	QKI, KH domain containing, RNA binding
126	GLRB	2743	2.1548	0.0021	glycine receptor, beta
127	SYNC	81493	2.1537	0.0007	syncoilin, intermediate filament protein
128	HIF1A	3091	2.1526	0.0191	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)
129	DPYD	1806	2.1505	0.0169	dihydropyrimidine dehydrogenase
130	CHN1	1123	2.1502	0.0017	chimerin (chimaerin) 1
131	ARNTL	406	2.1474	0.0004	aryl hydrocarbon receptor nuclear translocator-like
132	GBE1	2632	2.1447	0.0053	glucan (1,4-alpha-), branching enzyme 1
133	POPDC3	64208	2.1431	0.0006	popeye domain containing 3
134	PRR16	51334	2.1411	0.0001	proline rich 16
135	GJA1	2697	2.1404	0.0016	gap junction protein, alpha 1, 43kDa
136	DOCK10	55619	2.1357	0.0062	dedicator of cytokinesis 10
137	HHIP	64399	2.1348	0.0002	hedgehog interacting protein
138	TPST1	8460	2.1298	0.0029	tyrosylprotein sulfotransferase 1
139	SYT14	255928	2.1288	0.0000	synaptotagmin XIV
140	NXPE3	91775	2.1283	0.0008	neurexophilin and PC-esterase domain family, member 3
141	CRIM1	51232	2.1280	0.0071	cysteine rich transmembrane BMP regulator 1 (chordin-like)
142	RECK	8434	2.1274	0.0239	reversion-inducing-cysteine-rich protein with kazal motifs
143	CYBRD1	79901	2.1253	0.0119	cytochrome b reductase 1
144	PLEKHO1	51177	2.1227	0.0086	pleckstrin homology domain containing, family O member 1
