Rank	Gene	Entrez ID	Coexpression Score	P-Value	Description
1	FLJ42709	441094	2.4268	0.0000	uncharacterized LOC441094
2	FAT4	79633	2.3813	0.0001	FAT tumor suppressor homolog 4 (Drosophila)
3	LHFP	10186	2.3686	0.0002	lipoma HMGIC fusion partner
4	RHOBTB3	22836	2.3128	0.0000	Rho-related BTB domain containing 3
5	TCF4	6925	2.2674	0.0001	transcription factor 4
6	UBR1	197131	2.2601	0.0011	ubiquitin protein ligase E3 component n-recognin 1
7	HCFC2	29915	2.2473	0.0004	host cell factor C2
8	SEMA3C	10512	2.1844	0.0001	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
9	RBFOX2	23543	2.1744	0.0004	RNA binding protein, fox-1 homolog (C. elegans) 2
10	FAM198B	51313	2.1516	0.0003	family with sequence similarity 198, member B
11	CPED1	79974	2.1392	0.0000	cadherin-like and PC-esterase domain containing 1
12	FSTL1	11167	2.1384	0.0025	follistatin-like 1
13	FBN1	2200	2.1272	0.0021	fibrillin 1
14	COL1A2	1278	2.1211	0.0019	collagen, type I, alpha 2
15	MSRB3	253827	2.1209	0.0015	methionine sulfoxide reductase B3
16	CLDN11	5010	2.1058	0.0000	claudin 11
17	KDELC2	143888	2.0852	0.0008	KDEL (Lys-Asp-Glu-Leu) containing 2
18	DKK3	27122	2.0775	0.0011	dickkopf 3 homolog (Xenopus laevis)
19	SDPR	8436	2.0578	0.0002	serum deprivation response
20	MARCKS	4082	2.0560	0.0002	myristoylated alanine-rich protein kinase C substrate
21	MRGPRF	116535	2.0449	0.0006	MAS-related GPR, member F
22	KLHL20	27252	2.0429	0.0002	kelch-like 20 (Drosophila)
23	PALLD	23022	2.0408	0.0016	palladin, cytoskeletal associated protein
24	ENC1	8507	2.0393	0.0001	ectodermal-neural cortex 1 (with BTB-like domain)
25	PRICKLE1	144165	2.0199	0.0000	prickle homolog 1 (Drosophila)
26	DLC1	10395	2.0195	0.0007	deleted in liver cancer 1
27	RECK	8434	2.0052	0.0064	reversion-inducing-cysteine-rich protein with kazal motifs
28	RAB3GAP1	22930	2.0003	0.0004	RAB3 GTPase activating protein subunit 1 (catalytic)
29	VEZT	55591	1.9933	0.0045	vezatin, adherens junctions transmembrane protein
30	PRKD1	5587	1.9880	0.0008	protein kinase D1
31	CDH11	1009	1.9859	0.0028	cadherin 11, type 2, OB-cadherin (osteoblast)
32	RHOJ	57381	1.9740	0.0056	ras homolog family member J
33	MAMDC2	256691	1.9644	0.0000	MAM domain containing 2
34	CDC42EP3	10602	1.9568	0.0000	CDC42 effector protein (Rho GTPase binding) 3
35	NID1	4811	1.9471	0.0014	nidogen 1
36	TSPAN5	10098	1.9402	0.0001	tetraspanin 5
37	LOC145820	145820	1.9190	0.0003	uncharacterized LOC145820
38	FILIP1L	11259	1.9154	0.0012	filamin A interacting protein 1-like
39	CRIM1	51232	1.9153	0.0021	cysteine rich transmembrane BMP regulator 1 (chordin-like)
40	GRAMD3	65983	1.9145	0.0002	GRAM domain containing 3
41	SYNPO2	171024	1.9044	0.0029	synaptopodin 2
42	STARD13	90627	1.8907	0.0002	StAR-related lipid transfer (START) domain containing 13
43	FKBP14	55033	1.8856	0.0013	FK506 binding protein 14, 22 kDa
44	LAYN	143903	1.8822	0.0005	layilin
45	CCBE1	147372	1.8792	0.0002	collagen and calcium binding EGF domains 1
46	FRMD6	122786	1.8771	0.0029	FERM domain containing 6
47	NRK	203447	1.8746	0.0001	Nik related kinase
48	MIR100HG	399959	1.8597	0.0011	mir-100-let-7a-2 cluster host gene (non-protein coding)
49	SEPT8	23176	1.8505	0.0003	septin 8
50	OLFML1	283298	1.8500	0.0035	olfactomedin-like 1
51	GPR124	25960	1.8483	0.0076	G protein-coupled receptor 124
52	PDGFRB	5159	1.8435	0.0085	platelet-derived growth factor receptor, beta polypeptide
53	COL5A2	1290	1.8432	0.0043	collagen, type V, alpha 2
54	JAZF1	221895	1.8415	0.0010	JAZF zinc finger 1
55	COL5A1	1289	1.8320	0.0108	collagen, type V, alpha 1
56	EMILIN1	11117	1.8287	0.0050	elastin microfibril interfacer 1
57	SEC24D	9871	1.8252	0.0107	SEC24 family, member D (S. cerevisiae)
