Rank	Gene	Entrez ID	Coexpression Score	P-Value	Description
1	TMEM47	83604	1.2933	0.0000	transmembrane protein 47
2	COL21A1	81578	1.2617	0.0000	collagen, type XXI, alpha 1
3	THSD7A	221981	1.2317	0.0000	thrombospondin, type I, domain containing 7A
4	FAM47E	100129583	1.2167	1.0000	family with sequence similarity 47, member E
5	CHRDL1	91851	1.1983	0.0000	chordin-like 1
6	SPARCL1	8404	1.1867	0.0002	SPARC-like 1 (hevin)
7	PLSCR4	57088	1.1867	0.0025	phospholipid scramblase 4
8	ROBO2	6092	1.1800	0.0000	roundabout, axon guidance receptor, homolog 2 (Drosophila)
9	PRSS12	8492	1.1733	0.0000	protease, serine, 12 (neurotrypsin, motopsin)
10	TDGF1P3	6998	1.1567	1.0000	teratocarcinoma-derived growth factor 1 pseudogene 3
11	NPY1R	4886	1.1567	0.0000	neuropeptide Y receptor Y1
12	COL8A1	1295	1.1525	1.0000	collagen, type VIII, alpha 1
13	STEAP2	261729	1.1450	0.0001	STEAP family member 2, metalloreductase
14	ABI3BP	25890	1.1317	0.0002	ABI family, member 3 (NESH) binding protein
15	NPNT	255743	1.1117	0.0000	nephronectin
16	PDZRN3	23024	1.1117	0.0000	PDZ domain containing ring finger 3
17	FLJ42709	441094	1.1100	0.0004	uncharacterized LOC441094
18	VGLL3	389136	1.1050	0.0003	vestigial like 3 (Drosophila)
19	FAM92A1P2	403315	1.1000	1.0000	family with sequence similarity 92, member A3
20	PYGO1	26108	1.0950	1.0000	pygopus homolog 1 (Drosophila)
21	ARHGAP29	9411	1.0917	0.0002	Rho GTPase activating protein 29
22	ATP1A2	477	1.0867	0.0003	ATPase, Na+/K+ transporting, alpha 2 polypeptide
23	EFEMP1	2202	1.0867	0.0012	EGF containing fibulin-like extracellular matrix protein 1
24	EMCN	51705	1.0850	0.0015	endomucin
25	DMD	1756	1.0833	0.0001	dystrophin
26	GULP1	51454	1.0783	0.0002	GULP, engulfment adaptor PTB domain containing 1
27	CYP4X1	260293	1.0750	0.0001	cytochrome P450, family 4, subfamily X, polypeptide 1
28	ELTD1	64123	1.0660	0.0013	EGF, latrophilin and seven transmembrane domain containing 1
29	RBPMS	11030	1.0633	0.0002	RNA binding protein with multiple splicing
30	LRIG3	121227	1.0617	0.0003	leucine-rich repeats and immunoglobulin-like domains 3
31	KCNT2	343450	1.0600	0.0009	potassium channel, subfamily T, member 2
32	ZFPM2	23414	1.0567	0.0000	zinc finger protein, multitype 2
33	ASPN	54829	1.0550	0.0000	asporin
34	SLC35G2	80723	1.0433	0.0002	solute carrier family 35, member G2
35	ANGPTL1	9068	1.0417	0.0004	angiopoietin-like 1
36	LOC100129550	100129550	1.0333	0.0055	uncharacterized LOC100129550
37	FZD7	8324	1.0317	0.0002	frizzled family receptor 7
38	GHR	2690	1.0300	0.0003	growth hormone receptor
39	MYRIP	25924	1.0300	0.0001	myosin VIIA and Rab interacting protein
40	TSPAN12	23554	1.0217	0.0002	tetraspanin 12
41	MAMDC2	256691	1.0183	0.0000	MAM domain containing 2
42	LOC100288911	100288911	1.0180	0.0007	uncharacterized LOC100288911
43	TYRP1	7306	1.0133	0.0000	tyrosinase-related protein 1
44	SMOC2	64094	1.0133	0.0001	SPARC related modular calcium binding 2
45	SNAI2	6591	1.0100	0.0012	snail homolog 2 (Drosophila)
46	ECM2	1842	1.0100	0.0036	extracellular matrix protein 2, female organ and adipocyte specific
47	REEP1	65055	1.0083	0.0001	receptor accessory protein 1
48	MIR100HG	399959	1.0040	0.0011	mir-100-let-7a-2 cluster host gene (non-protein coding)
49	AOX1	316	0.9933	0.0008	aldehyde oxidase 1
50	LOC285141	285141	0.9900	1.0000	uncharacterized protein LOC285141
51	CADPS2	93664	0.9883	0.0004	Ca++-dependent secretion activator 2
52	SCN7A	6332	0.9867	0.0000	sodium channel, voltage-gated, type VII, alpha subunit
53	GLT8D2	83468	0.9850	0.0075	glycosyltransferase 8 domain containing 2
54	CNTN3	5067	0.9833	0.0000	contactin 3 (plasmacytoma associated)
55	IGSF10	285313	0.9833	0.0002	immunoglobulin superfamily, member 10
56	KCNS3	3790	0.9783	0.0000	potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3
57	HMCN1	83872	0.9767	0.0003	hemicentin 1
58	PEG3	5178	0.9767	0.0000	paternally expressed 3
