Rank	Gene	Entrez ID	Coexpression Score	P-Value	Description
1	EFEMP1	2202	1.8671	0.0000	EGF containing fibulin-like extracellular matrix protein 1
2	MSRB3	253827	1.8053	0.0001	methionine sulfoxide reductase B3
3	PDGFC	56034	1.7871	0.0000	platelet derived growth factor C
4	DKK3	27122	1.7579	0.0004	dickkopf 3 homolog (Xenopus laevis)
5	CYBRD1	79901	1.7571	0.0002	cytochrome b reductase 1
6	FAT4	79633	1.7444	0.0003	FAT tumor suppressor homolog 4 (Drosophila)
7	C5ORF23	79614	1.7439	0.0000	chromosome 5 open reading frame 23
8	RECK	8434	1.7168	0.0023	reversion-inducing-cysteine-rich protein with kazal motifs
9	LHFP	10186	1.6966	0.0012	lipoma HMGIC fusion partner
10	DPYD	1806	1.6796	0.0017	dihydropyrimidine dehydrogenase
11	PRICKLE2	166336	1.6727	0.0002	prickle homolog 2 (Drosophila)
12	CDH11	1009	1.6614	0.0008	cadherin 11, type 2, OB-cadherin (osteoblast)
13	FSTL1	11167	1.6515	0.0028	follistatin-like 1
14	MAML2	84441	1.6350	0.0002	mastermind-like 2 (Drosophila)
15	TGFBR2	7048	1.6238	0.0012	transforming growth factor, beta receptor II (70/80kDa)
16	FRMD6	122786	1.5968	0.0011	FERM domain containing 6
17	HMCN1	83872	1.5920	0.0000	hemicentin 1
18	LAYN	143903	1.5805	0.0001	layilin
19	CYP2U1	113612	1.5795	0.0002	cytochrome P450, family 2, subfamily U, polypeptide 1
20	ZNF25	219749	1.5661	0.0067	zinc finger protein 25
21	FBN1	2200	1.5558	0.0039	fibrillin 1
22	TGFBR3	7049	1.5543	0.0001	transforming growth factor, beta receptor III
23	NEGR1	257194	1.5518	0.0001	neuronal growth regulator 1
24	CRIM1	51232	1.5516	0.0015	cysteine rich transmembrane BMP regulator 1 (chordin-like)
25	DCN	1634	1.5104	0.0088	decorin
26	LTBP2	4053	1.5046	0.0057	latent transforming growth factor beta binding protein 2
27	CYR61	3491	1.5017	0.0020	cysteine-rich, angiogenic inducer, 61
28	DPYSL2	1808	1.4994	0.0036	dihydropyrimidinase-like 2
29	PKD2	5311	1.4987	0.0056	polycystic kidney disease 2 (autosomal dominant)
30	SPRY1	10252	1.4884	0.0001	sprouty homolog 1, antagonist of FGF signaling (Drosophila)
31	ZFPM2	23414	1.4835	0.0000	zinc finger protein, multitype 2
32	CDC42EP3	10602	1.4799	0.0000	CDC42 effector protein (Rho GTPase binding) 3
33	PCDH18	54510	1.4774	0.0018	protocadherin 18
34	HEG1	57493	1.4747	0.0030	HEG homolog 1 (zebrafish)
35	NAP1L5	266812	1.4728	0.0002	nucleosome assembly protein 1-like 5
36	FKBP7	51661	1.4714	0.0030	FK506 binding protein 7
37	ANGPT1	284	1.4673	0.0005	angiopoietin 1
38	LRIG3	121227	1.4619	0.0003	leucine-rich repeats and immunoglobulin-like domains 3
39	GXYLT2	727936	1.4617	0.0002	glucoside xylosyltransferase 2
40	WLS	79971	1.4608	0.0002	wntless homolog (Drosophila)
41	SSPN	8082	1.4603	0.0031	sarcospan
42	SDC2	6383	1.4587	0.0003	syndecan 2
43	KCTD12	115207	1.4571	0.0010	potassium channel tetramerisation domain containing 12
44	FZD1	8321	1.4571	0.0000	frizzled family receptor 1
45	PTPRG	5793	1.4481	0.0004	protein tyrosine phosphatase, receptor type, G
46	ZNF521	25925	1.4479	0.0006	zinc finger protein 521
47	TCF4	6925	1.4468	0.0019	transcription factor 4
48	RGL1	23179	1.4459	0.0033	ral guanine nucleotide dissociation stimulator-like 1
49	BMPR2	659	1.4415	0.0100	bone morphogenetic protein receptor, type II (serine/threonine kinase)
50	ZEB1	6935	1.4360	0.0039	zinc finger E-box binding homeobox 1
51	LCA5	167691	1.4357	0.0029	Leber congenital amaurosis 5
52	LBH	81606	1.4352	0.0002	limb bud and heart development homolog (mouse)
53	COL12A1	1303	1.4222	0.0034	collagen, type XII, alpha 1
54	IL1R1	3554	1.4220	0.0021	interleukin 1 receptor, type I
55	ABI3BP	25890	1.4170	0.0010	ABI family, member 3 (NESH) binding protein
56	MYLK	4638	1.4154	0.0035	myosin light chain kinase
57	TGFB2	7042	1.4152	0.0020	transforming growth factor, beta 2
58	SPARC	6678	1.4133	0.0096	secreted protein, acidic, cysteine-rich (osteonectin)
59	TMEM47	83604	1.4122	0.0036	transmembrane protein 47
60	KANK2	25959	1.4119	0.0033	KN motif and ankyrin repeat domains 2
61	GAS6	2621	1.4104	0.0042	growth arrest-specific 6
62	ANTXR2	118429	1.4095	0.0049	anthrax toxin receptor 2
63	FAM176A	84141	1.4084	0.0002	family with sequence similarity 176, member A
64	TGFB1I1	7041	1.4065	0.0100	transforming growth factor beta 1 induced transcript 1
65	SEMA5A	9037	1.4050	0.0014	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A
66	RGMB	285704	1.4046	0.0000	RGM domain family, member B
