Rank	Gene	Entrez ID	Coexpression Score	P-Value	Description
1	YPEL3	83719	1.2475	0.0000	yippee-like 3 (Drosophila)
2	FLJ36000	284124	1.2150	1.0000	uncharacterized FLJ36000
3	LOC100128003	100128003	1.2000	1.0000	hypothetical LOC100128003
4	P2RX2	22953	1.1850	0.0002	purinergic receptor P2X, ligand-gated ion channel, 2
5	PCDHGB1	56104	1.1550	1.0000	protocadherin gamma subfamily B, 1
6	ANKRD65	441869	1.1275	0.0000	ankyrin repeat domain 65
7	FKBP8	23770	1.1200	0.0031	FK506 binding protein 8, 38kDa
8	LOC100289509	100289509	1.1200	1.0000	uncharacterized LOC100289509
9	CALM3	808	1.1000	0.0000	calmodulin 3 (phosphorylase kinase, delta)
10	SEC16B	89866	1.0775	0.0000	SEC16 homolog B (S. cerevisiae)
11	LOC285847	285847	1.0650	1.0000	uncharacterized LOC285847
12	KRTAP12-1	353332	1.0600	1.0000	keratin associated protein 12-1
13	R3HDML	140902	1.0600	0.0000	R3H domain containing-like
14	LOC100129098	100129098	1.0600	1.0000	uncharacterized LOC100129098
15	SLC22A10	387775	1.0550	1.0000	solute carrier family 22, member 10
16	VWCE	220001	1.0425	0.0000	von Willebrand factor C and EGF domains
17	TEX35	84066	1.0375	0.0000	testis expressed 35
18	MYOG	4656	1.0350	0.0041	myogenin (myogenic factor 4)
19	LOC644794	644794	1.0300	1.0000	uncharacterized LOC644794
20	OR10A5	144124	1.0275	0.0003	olfactory receptor, family 10, subfamily A, member 5
21	GOLGA7B	401647	1.0250	0.0007	golgin A7 family, member B
22	GUK1	2987	1.0225	0.0019	guanylate kinase 1
23	UBE2V1	7335	1.0150	1.0000	ubiquitin-conjugating enzyme E2 variant 1
24	TCEANC	170082	1.0150	1.0000	transcription elongation factor A (SII) N-terminal and central domain containing
25	SESN3	143686	1.0125	0.0000	sestrin 3
26	CARHSP1	23589	1.0075	0.0001	calcium regulated heat stable protein 1, 24kDa
27	OR2A25	392138	1.0000	1.0000	olfactory receptor, family 2, subfamily A, member 25
28	OR7E24	26648	1.0000	0.0000	olfactory receptor, family 7, subfamily E, member 24
29	LOC100128430	100128430	1.0000	1.0000	uncharacterized LOC100128430
30	C19ORF10	56005	0.9950	0.0079	chromosome 19 open reading frame 10
31	PBX1	5087	0.9900	0.0022	pre-B-cell leukemia homeobox 1
32	RUNDC3A	10900	0.9775	0.0028	RUN domain containing 3A
33	C9ORF173	441476	0.9750	0.0021	chromosome 9 open reading frame 173
34	SP6	80320	0.9700	0.0000	Sp6 transcription factor
35	TOMM20L	387990	0.9700	1.0000	translocase of outer mitochondrial membrane 20 homolog (yeast)-like
36	LOC284688	284688	0.9700	1.0000	uncharacterized LOC284688
37	TMEM155	132332	0.9700	0.0000	transmembrane protein 155
38	ZC3H12B	340554	0.9650	0.0013	zinc finger CCCH-type containing 12B
39	SLC6A5	9152	0.9600	0.0000	solute carrier family 6 (neurotransmitter transporter, glycine), member 5
40	ATF7	11016	0.9575	0.0009	activating transcription factor 7
41	NUDT17	200035	0.9450	0.0001	nudix (nucleoside diphosphate linked moiety X)-type motif 17
42	PDLIM7	9260	0.9375	0.0110	PDZ and LIM domain 7 (enigma)
43	OPN1LW	5956	0.9350	1.0000	opsin 1 (cone pigments), long-wave-sensitive
44	BPIFB2	80341	0.9300	0.0001	BPI fold containing family B, member 2
45	KRTAP19-3	337970	0.9300	0.0000	keratin associated protein 19-3
46	KRTAP13-2	337959	0.9300	1.0000	keratin associated protein 13-2
47	PROKR1	10887	0.9300	1.0000	prokineticin receptor 1
48	TBXA2R	6915	0.9275	0.0046	thromboxane A2 receptor
49	C20ORF141	128653	0.9275	0.0037	chromosome 20 open reading frame 141
50	KRTAP2-1	81872	0.9200	0.0000	keratin associated protein 2-1
51	FAM180A	389558	0.9200	1.0000	family with sequence similarity 180, member A
52	CNTFR	1271	0.9200	0.0010	ciliary neurotrophic factor receptor
53	TSTA3	7264	0.9175	0.0033	tissue specific transplantation antigen P35B
54	GATA1	2623	0.9175	0.0030	GATA binding protein 1 (globin transcription factor 1)
55	OLFML3	56944	0.9125	0.0036	olfactomedin-like 3
56	ACOT12	134526	0.9125	0.0000	acyl-CoA thioesterase 12
57	PLEK2	26499	0.9100	0.0007	pleckstrin 2
58	B4GALNT1	2583	0.9075	0.0006	beta-1,4-N-acetyl-galactosaminyl transferase 1
59	HIST2H2AC	8338	0.9050	1.0000	histone cluster 2, H2ac
60	ADD2	119	0.9050	0.0016	adducin 2 (beta)
61	LOC100133985	100133985	0.9050	1.0000	uncharacterized LOC100133985
62	ADAMTSL5	339366	0.9025	0.0015	ADAMTS-like 5
63	PROP1	5626	0.9000	0.0204	PROP paired-like homeobox 1
64	LRRC55	219527	0.9000	0.0001	leucine rich repeat containing 55
65	C5ORF4	10826	0.8975	0.0191	chromosome 5 open reading frame 4
66	C20ORF61	728450	0.8950	0.0159	chromosome 20 open reading frame 61
67	IMPG2	50939	0.8950	0.0000	interphotoreceptor matrix proteoglycan 2
68	SPINK7	84651	0.8925	0.0001	serine peptidase inhibitor, Kazal type 7 (putative)
69	F12	2161	0.8925	0.0005	coagulation factor XII (Hageman factor)
70	TMEM164	84187	0.8900	0.0000	transmembrane protein 164
71	OR51I1	390063	0.8900	0.0078	olfactory receptor, family 51, subfamily I, member 1
72	KRT1	3848	0.8900	0.0001	keratin 1
73	SSU72P8	136157	0.8900	1.0000	SSU72 RNA polymerase II CTD phosphatase homolog (S. cerevisiae) pseudogene 8
74	KLHL33	123103	0.8900	1.0000	kelch-like 33 (Drosophila)
75	ATAT1	79969	0.8875	0.0031	alpha tubulin acetyltransferase 1
76	R3HDM4	91300	0.8850	0.0049	R3H domain containing 4
77	NKX1-1	54729	0.8850	1.0000	NK1 homeobox 1
78	INPP5K	51763	0.8825	0.0030	inositol polyphosphate-5-phosphatase K
79	SLC6A17	388662	0.8825	0.0130	solute carrier family 6, member 17
80	KDELR1	10945	0.8825	0.0091	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1
81	LOC727944	727944	0.8800	1.0000	uncharacterized LOC727944
82	PKMYT1	9088	0.8750	0.0286	protein kinase, membrane associated tyrosine/threonine 1
83	HGFAC	3083	0.8750	0.0007	HGF activator
84	GLUL	2752	0.8750	0.0004	glutamate-ammonia ligase
85	CORT	1325	0.8750	1.0000	cortistatin
86	LOC100131354	100131354	0.8750	1.0000	uncharacterized LOC100131354
87	ZNF503-AS2	100131213	0.8750	0.0512	ZNF503 antisense RNA 2 (non-protein coding)
88	NOVA2	4858	0.8725	0.0302	neuro-oncological ventral antigen 2
89	KRT31	3881	0.8700	0.0006	keratin 31
90	FAM41C	284593	0.8700	1.0000	family with sequence similarity 41, member C
91	HIST1H2BK	85236	0.8675	0.0009	histone cluster 1, H2bk
92	BSG	682	0.8675	0.0051	basigin (Ok blood group)
93	GPX4	2879	0.8675	0.0081	glutathione peroxidase 4
94	WISP1	8840	0.8650	0.0104	WNT1 inducible signaling pathway protein 1
95	MBOAT4	619373	0.8650	1.0000	membrane bound O-acyltransferase domain containing 4
96	NME4	4833	0.8650	0.0041	NME/NM23 nucleoside diphosphate kinase 4
97	LOC285074	285074	0.8650	1.0000	anaphase promoting complex subunit 1 pseudogene
98	EPB42	2038	0.8650	0.0008	erythrocyte membrane protein band 4.2
99	FLJ39061	165057	0.8650	1.0000	uncharacterized protein FLJ39061
100	HRH3	11255	0.8650	0.0785	histamine receptor H3
101	RILP	83547	0.8625	0.0167	Rab interacting lysosomal protein
102	HEPACAM2	253012	0.8625	0.0000	HEPACAM family member 2
103	LYPLA2P1	653639	0.8600	0.0013	lysophospholipase II pseudogene 1
104	PDZD7	79955	0.8575	0.0015	PDZ domain containing 7
105	ARG1	383	0.8575	0.0001	arginase, liver
106	KCNQ3	3786	0.8575	0.0198	potassium voltage-gated channel, KQT-like subfamily, member 3
107	FAM131C	348487	0.8550	1.0000	family with sequence similarity 131, member C
108	TSPO2	222642	0.8550	0.0323	translocator protein 2
109	STAU2-AS1	100128126	0.8550	1.0000	STAU2 antisense RNA 1 (non-protein coding)
110	SLC19A3	80704	0.8525	0.0007	solute carrier family 19, member 3
111	CA1	759	0.8525	0.0024	carbonic anhydrase I
112	PCDHB4	56131	0.8525	0.0021	protocadherin beta 4
113	TAS2R8	50836	0.8525	0.0004	taste receptor, type 2, member 8
114	E2F2	1870	0.8525	0.0154	E2F transcription factor 2
115	SLC36A3	285641	0.8500	1.0000	solute carrier family 36 (proton/amino acid symporter), member 3
116	DPCD	25911	0.8500	0.0028	deleted in primary ciliary dyskinesia homolog (mouse)
117	NUDT8	254552	0.8500	1.0000	nudix (nucleoside diphosphate linked moiety X)-type motif 8
118	CCDC124	115098	0.8500	0.0262	coiled-coil domain containing 124
119	UPK3B	80761	0.8450	0.0002	uroplakin 3B
120	SMS	6611	0.8450	1.0000	spermine synthase
121	OR5K1	26339	0.8450	0.0002	olfactory receptor, family 5, subfamily K, member 1
122	CIRBP-AS1	148046	0.8450	0.0081	CIRBP antisense RNA 1 (non-protein coding)
123	LOC100271832	100271832	0.8450	1.0000	uncharacterized LOC100271832
124	NRXN1	9378	0.8425	0.0119	neurexin 1
125	TCEB2	6923	0.8425	0.0064	transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B)
126	EPB49	2039	0.8425	0.0028	erythrocyte membrane protein band 4.9 (dematin)
127	DLX2	1746	0.8425	0.0011	distal-less homeobox 2
128	ADPRHL1	113622	0.8425	0.0007	ADP-ribosylhydrolase like 1
129	C17ORF109	643008	0.8400	0.0021	chromosome 17 open reading frame 109
130	PCDHGB8P	56120	0.8400	1.0000	protocadherin gamma subfamily B, 8 pseudogene
131	SMOX	54498	0.8400	0.0071	spermine oxidase
132	LCN10	414332	0.8400	0.0033	lipocalin 10
133	HBE1	3046	0.8400	0.0002	hemoglobin, epsilon 1
134	LINC00028	140875	0.8400	0.0682	long intergenic non-protein coding RNA 28
135	EGOT	100126791	0.8400	0.0150	eosinophil granule ontogeny transcript (non-protein coding)
136	PGC	5225	0.8375	0.0045	progastricsin (pepsinogen C)
137	HDGF	3068	0.8375	0.0054	hepatoma-derived growth factor
138	KCNK7	10089	0.8375	0.0135	potassium channel, subfamily K, member 7
139	HTR3E	285242	0.8350	1.0000	5-hydroxytryptamine (serotonin) receptor 3E, ionotropic
140	METAP1D	254042	0.8350	1.0000	methionyl aminopeptidase type 1D (mitochondrial)
141	LOC100130100	100130100	0.8350	0.0018	Ig kappa chain V-I region Walker-like
142	ADIPOR1	51094	0.8300	0.0053	adiponectin receptor 1
143	HOXC11	3227	0.8300	0.0009	homeobox C11
144	EIF2C2	27161	0.8300	0.0059	eukaryotic translation initiation factor 2C, 2
145	GJB4	127534	0.8300	0.0015	gap junction protein, beta 4, 30.3kDa
146	LSM12	124801	0.8300	1.0000	LSM12 homolog (S. cerevisiae)
147	FAM100B	283991	0.8275	0.0038	family with sequence similarity 100, member B
148	OR2B2	81697	0.8250	0.0009	olfactory receptor, family 2, subfamily B, member 2
149	DKFZP434L187	26082	0.8250	1.0000	uncharacterized LOC26082
150	EMID1	129080	0.8250	0.0052	EMI domain containing 1
151	OR4D2	124538	0.8250	1.0000	olfactory receptor, family 4, subfamily D, member 2
152	CRYBA4	1413	0.8225	0.0008	crystallin, beta A4
153	COX6B2	125965	0.8225	0.0058	cytochrome c oxidase subunit VIb polypeptide 2 (testis)
154	FSCN1	6624	0.8200	0.0053	fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)
155	HS3ST6	64711	0.8200	0.0057	heparan sulfate (glucosamine) 3-O-sulfotransferase 6
156	PKHD1	5314	0.8200	0.0053	polycystic kidney and hepatic disease 1 (autosomal recessive)
157	NKX1-2	390010	0.8200	1.0000	NK1 homeobox 2
158	GRM6	2916	0.8200	0.0131	glutamate receptor, metabotropic 6
159	LOC144742	144742	0.8200	1.0000	uncharacterized LOC144742
160	ASCL3	56676	0.8175	0.0173	achaete-scute complex homolog 3 (Drosophila)
161	SCGB2B2	284402	0.8175	0.0009	secretoglobin, family 2B, member 2
162	AK1	203	0.8175	0.0013	adenylate kinase 1
163	SLC30A8	169026	0.8175	0.0003	solute carrier family 30 (zinc transporter), member 8
164	AP2A1	160	0.8175	0.0312	adaptor-related protein complex 2, alpha 1 subunit
165	RAB13	5872	0.8150	1.0000	RAB13, member RAS oncogene family
166	PPP2R3A	5523	0.8150	0.0066	protein phosphatase 2, regulatory subunit B, alpha
167	KLHDC8A	55220	0.8150	0.0003	kelch domain containing 8A
168	C7ORF53	286006	0.8150	0.0025	chromosome 7 open reading frame 53
169	TBATA	219793	0.8150	0.0003	thymus, brain and testes associated
170	FZR1	51343	0.8125	0.0292	fizzy/cell division cycle 20 related 1 (Drosophila)
171	NINJ2	4815	0.8125	0.0003	ninjurin 2
172	ZNF81	347344	0.8125	0.0044	zinc finger protein 81
173	HTR1B	3351	0.8125	0.0209	5-hydroxytryptamine (serotonin) receptor 1B, G protein-coupled
174	OR10A4	283297	0.8125	0.0002	olfactory receptor, family 10, subfamily A, member 4
175	CDH7	1005	0.8125	0.0002	cadherin 7, type 2
176	C21ORF58	54058	0.8100	0.0137	chromosome 21 open reading frame 58
177	PER1	5187	0.8100	0.0111	period homolog 1 (Drosophila)
178	MSLNL	401827	0.8100	1.0000	mesothelin-like
179	C2ORF66	401027	0.8100	1.0000	chromosome 2 open reading frame 66
180	C19ORF45	374877	0.8100	0.0325	chromosome 19 open reading frame 45
181	NIPAL4	348938	0.8100	0.0132	NIPA-like domain containing 4
182	ID1	3397	0.8100	0.0008	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein
183	AHDC1	27245	0.8100	0.0048	AT hook, DNA binding motif, containing 1
184	RAB1B	81876	0.8075	0.0318	RAB1B, member RAS oncogene family
185	ATOH7	220202	0.8075	0.0001	atonal homolog 7 (Drosophila)
186	CHMP6	79643	0.8050	0.0119	charged multivesicular body protein 6
187	UGT2B10	7365	0.8050	1.0000	UDP glucuronosyltransferase 2 family, polypeptide B10
188	NDUFB7	4713	0.8050	0.0401	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7, 18kDa
189	EDN2	1907	0.8050	0.0008	endothelin 2
190	ABCG2	9429	0.8025	0.0003	ATP-binding cassette, sub-family G (WHITE), member 2
191	SLC4A1	6521	0.8025	0.0224	solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3, Diego blood group)
192	SLC25A39	51629	0.8025	0.0231	solute carrier family 25, member 39
193	C19ORF77	284422	0.8025	0.0000	chromosome 19 open reading frame 77
194	ADORA1	134	0.8025	0.0224	adenosine A1 receptor
195	KLF1	10661	0.8025	0.0026	Kruppel-like factor 1 (erythroid)
196	TM7SF2	7108	0.8000	0.0132	transmembrane 7 superfamily member 2
197	SHOX2	6474	0.8000	0.0003	short stature homeobox 2
198	LOC646484	646484	0.8000	1.0000	uncharacterized LOC646484
199	HEMGN	55363	0.8000	0.0005	hemogen
200	PLA2G5	5322	0.8000	0.0169	phospholipase A2, group V
201	NFIX	4784	0.8000	0.0065	nuclear factor I/X (CCAAT-binding transcription factor)
202	GOLGA6L2	283685	0.8000	0.0107	golgin A6 family-like 2
203	SNORA71B	26776	0.8000	0.0130	small nucleolar RNA, H/ACA box 71B
204	C18ORF12	84322	0.7975	0.0159	chromosome 18 open reading frame 12
205	NYX	60506	0.7975	0.0895	nyctalopin
206	GPR143	4935	0.7975	0.0012	G protein-coupled receptor 143
207	GPX5	2880	0.7975	0.0402	glutathione peroxidase 5 (epididymal androgen-related protein)
208	TCL6	27004	0.7975	0.0371	T-cell leukemia/lymphoma 6 (non-protein coding)
209	GAP43	2596	0.7975	0.0022	growth associated protein 43
210	DBN1	1627	0.7975	0.0061	drebrin 1
211	HIST1H2AH	85235	0.7950	1.0000	histone cluster 1, H2ah
212	HIST1H2BM	8342	0.7950	0.0011	histone cluster 1, H2bm
213	TRIM67	440730	0.7950	0.0467	tripartite motif containing 67
214	FAM212A	389119	0.7950	0.0028	family with sequence similarity 212, member A
215	KCNQ1	3784	0.7950	0.0104	potassium voltage-gated channel, KQT-like subfamily, member 1
