Rank	Gene	Entrez ID	Coexpression Score	P-Value	Description
1	COL8A1	1295	1.6500	1.0000	collagen, type VIII, alpha 1
2	GRM6	2916	1.3700	0.0003	glutamate receptor, metabotropic 6
3	LOC100129098	100129098	1.3300	1.0000	uncharacterized LOC100129098
4	LOC441124	441124	1.3250	1.0000	uncharacterized LOC441124
5	LOC100128003	100128003	1.3050	1.0000	hypothetical LOC100128003
6	RPS10P7	376693	1.2900	1.0000	ribosomal protein S10 pseudogene 7
7	PPP2R3A	5523	1.2825	0.0000	protein phosphatase 2, regulatory subunit B, alpha
8	DPP6	1804	1.2825	0.0000	dipeptidyl-peptidase 6
9	LINC00582	100287814	1.2700	1.0000	long intergenic non-protein coding RNA 582
10	HS3ST3A1	9955	1.2650	0.0000	heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1
11	PSG8	440533	1.2400	1.0000	pregnancy specific beta-1-glycoprotein 8
12	LOC143188	143188	1.2350	0.0008	uncharacterized LOC143188
13	MAP3K15	389840	1.2300	1.0000	mitogen-activated protein kinase kinase kinase 15
14	ULBP2	80328	1.2250	0.0002	UL16 binding protein 2
15	ZNF503-AS2	100131213	1.2200	0.0175	ZNF503 antisense RNA 2 (non-protein coding)
16	MXRA5	25878	1.2175	0.0004	matrix-remodelling associated 5
17	PDZD7	79955	1.1950	0.0000	PDZ domain containing 7
18	PPP1R27	116729	1.1950	0.0000	protein phosphatase 1, regulatory subunit 27
19	CALCB	797	1.1800	0.0000	calcitonin-related polypeptide beta
20	LOC643201	643201	1.1750	1.0000	centrosomal protein 192kDa pseudogene
21	PRAC	84366	1.1650	0.0000	prostate cancer susceptibility candidate
22	C20ORF61	728450	1.1600	0.0052	chromosome 20 open reading frame 61
23	OR1I1	126370	1.1450	0.0041	olfactory receptor, family 1, subfamily I, member 1
24	MT1B	4490	1.1400	1.0000	metallothionein 1B
25	C20ORF166-AS1	253868	1.1400	0.0004	C20orf166 antisense RNA 1 (non-protein coding)
26	GDF6	392255	1.1300	1.0000	growth differentiation factor 6
27	ANTXR1	84168	1.1275	0.0004	anthrax toxin receptor 1
28	DPT	1805	1.1275	0.0015	dermatopontin
29	C9ORF152	401546	1.1250	0.0002	chromosome 9 open reading frame 152
30	MT1L	4500	1.1150	1.0000	metallothionein 1L (gene/pseudogene)
31	LOC200726	200726	1.1150	1.0000	hCG1657980
32	PFN1P2	767846	1.1100	1.0000	profilin 1 pseudogene 2
