Rank	Gene	Entrez ID	Coexpression Score	P-Value	Description
1	LOC100288911	100288911	3.0720	0.0000	uncharacterized LOC100288911
2	PLEKHA1	59338	2.9347	0.0000	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1
3	PCGF5	84333	2.8997	0.0001	polycomb group ring finger 5
4	FAM63A	55793	2.8752	0.0001	family with sequence similarity 63, member A
5	DECR1	1666	2.8140	0.0006	2,4-dienoyl CoA reductase 1, mitochondrial
6	C1RL	51279	2.7763	0.0002	complement component 1, r subcomponent-like
7	LOC100128909	100128909	2.7703	0.0000	uncharacterized LOC100128909
8	PEX11B	8799	2.7352	0.0018	peroxisomal biogenesis factor 11 beta
9	MARCKS	4082	2.7322	0.0000	myristoylated alanine-rich protein kinase C substrate
10	NDST1	3340	2.7063	0.0003	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1
11	BPGM	669	2.7041	0.0000	2,3-bisphosphoglycerate mutase
12	NFKBIA	4792	2.6834	0.0005	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha
13	ATP6V0E1	8992	2.6712	0.0044	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1
14	MCCC1	56922	2.6519	0.0002	methylcrotonoyl-CoA carboxylase 1 (alpha)
15	PLSCR4	57088	2.6474	0.0042	phospholipid scramblase 4
16	CISD1	55847	2.6359	0.0003	CDGSH iron sulfur domain 1
17	C7ORF55	154791	2.6320	0.0003	chromosome 7 open reading frame 55
18	SEPP1	6414	2.6260	0.0007	selenoprotein P, plasma, 1
19	LPAR6	10161	2.6233	0.0002	lysophosphatidic acid receptor 6
20	SLC7A7	9056	2.6184	0.0002	solute carrier family 7 (amino acid transporter light chain, y+L system), member 7
21	ZNF350	59348	2.5915	0.0005	zinc finger protein 350
22	CASP7	840	2.5862	0.0002	caspase 7, apoptosis-related cysteine peptidase
23	FLJ37453	729614	2.5695	0.0004	uncharacterized LOC729614
24	ATG5	9474	2.5638	0.0018	autophagy related 5
25	PBX1	5087	2.5605	0.0021	pre-B-cell leukemia homeobox 1
26	TLR1	7096	2.5580	0.0012	toll-like receptor 1
27	SMARCE1	6605	2.5566	0.0019	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1
28	LINC00324	284029	2.5415	0.0001	long intergenic non-protein coding RNA 324
29	ST7-AS1	93653	2.5415	0.0000	ST7 antisense RNA 1 (non-protein coding)
30	ZNRF1	84937	2.5346	0.0001	zinc and ring finger 1, E3 ubiquitin protein ligase
31	LOC100128822	100128822	2.5236	0.0007	uncharacterized LOC100128822
32	TBCC	6903	2.5218	0.0005	tubulin folding cofactor C
33	IP6K2	51447	2.5091	0.0004	inositol hexakisphosphate kinase 2
34	LAPTM4A	9741	2.5001	0.0077	lysosomal protein transmembrane 4 alpha
35	ZNF580	51157	2.4945	0.0013	zinc finger protein 580
36	NDN	4692	2.4728	0.0001	necdin homolog (mouse)
37	KCNS3	3790	2.4602	0.0000	potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3
38	TSPAN3	10099	2.4571	0.0006	tetraspanin 3
39	VGLL3	389136	2.4516	0.0016	vestigial like 3 (Drosophila)
40	LOC100287628	100287628	2.4431	0.0000	uncharacterized LOC100287628
41	RILPL2	196383	2.4395	0.0002	Rab interacting lysosomal protein-like 2
42	BCL6	604	2.4395	0.0019	B-cell CLL/lymphoma 6
43	TBC1D8	11138	2.4364	0.0001	TBC1 domain family, member 8 (with GRAM domain)
44	SMAD1	4086	2.4348	0.0000	SMAD family member 1
45	SLC2A11	66035	2.4341	0.0002	solute carrier family 2 (facilitated glucose transporter), member 11
46	HSPB3	8988	2.4189	0.0001	heat shock 27kDa protein 3
47	DAPK1	1612	2.4186	0.0001	death-associated protein kinase 1
48	RCBTB2	1102	2.4048	0.0016	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2
49	BCL2L11	10018	2.3891	0.0001	BCL2-like 11 (apoptosis facilitator)
50	ZNF771	51333	2.3744	0.0019	zinc finger protein 771
51	SELM	140606	2.3730	0.0031	selenoprotein M
52	CXORF24	203414	2.3660	1.0000	chromosome X open reading frame 24
53	NFASC	23114	2.3555	0.0007	neurofascin
54	FAM176A	84141	2.3488	0.0002	family with sequence similarity 176, member A
55	C14ORF159	80017	2.3475	0.0020	chromosome 14 open reading frame 159
56	GLUL	2752	2.3446	0.0004	glutamate-ammonia ligase
57	FLJ10038	55056	2.3438	0.0009	uncharacterized protein FLJ10038
58	PSKH1	5681	2.3391	0.0009	protein serine kinase H1
59	CA11	770	2.3341	0.0004	carbonic anhydrase XI
