Rank	Gene	Entrez ID	Coexpression Score	P-Value	Description
1	PARVA	55742	2.7526	0.0000	parvin, alpha
2	MMP2	4313	2.7467	0.0000	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)
3	LOX	4015	2.7446	0.0000	lysyl oxidase
4	SULF1	23213	2.6935	0.0000	sulfatase 1
5	PLAGL1	5325	2.5816	0.0000	pleiomorphic adenoma gene-like 1
6	IGFBP3	3486	2.5280	0.0000	insulin-like growth factor binding protein 3
7	HERPUD1	9709	2.5234	0.0006	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1
8	AZI2	64343	2.5170	0.0011	5-azacytidine induced 2
9	NR3C1	2908	2.5168	0.0009	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)
10	ZNF25	219749	2.5059	0.0031	zinc finger protein 25
11	BGN	633	2.4984	0.0019	biglycan
12	PAPPA	5069	2.4767	0.0002	pregnancy-associated plasma protein A, pappalysin 1
13	COL1A1	1277	2.4682	0.0018	collagen, type I, alpha 1
14	TMX3	54495	2.4604	0.0067	thioredoxin-related transmembrane protein 3
15	TANC2	26115	2.4535	0.0000	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2
16	MBNL1	4154	2.4423	0.0022	muscleblind-like splicing regulator 1
17	ATP8B1	5205	2.4418	0.0001	ATPase, aminophospholipid transporter, class I, type 8B, member 1
18	SLC35B3	51000	2.4317	0.0037	solute carrier family 35, member B3
19	ZBTB20	26137	2.4297	0.0048	zinc finger and BTB domain containing 20
20	RFTN1	23180	2.3997	0.0002	raftlin, lipid raft linker 1
21	BMPR2	659	2.3945	0.0043	bone morphogenetic protein receptor, type II (serine/threonine kinase)
22	FBN1	2200	2.3936	0.0042	fibrillin 1
23	TBC1D8B	54885	2.3901	0.0002	TBC1 domain family, member 8B (with GRAM domain)
24	COL5A1	1289	2.3879	0.0052	collagen, type V, alpha 1
25	GLIPR1	11010	2.3840	0.0023	GLI pathogenesis-related 1
26	BEND6	221336	2.3814	0.0000	BEN domain containing 6
27	FIBIN	387758	2.3811	0.0007	fin bud initiation factor homolog (zebrafish)
28	CMPK1	51727	2.3435	0.0025	cytidine monophosphate (UMP-CMP) kinase 1, cytosolic
29	TGFBI	7045	2.3406	0.0008	transforming growth factor, beta-induced, 68kDa
30	CALD1	800	2.3381	0.0073	caldesmon 1
31	NDRG1	10397	2.3214	0.0007	N-myc downstream regulated 1
32	IL13RA1	3597	2.3179	0.0030	interleukin 13 receptor, alpha 1
33	LUM	4060	2.3130	0.0013	lumican
34	COL5A2	1290	2.3090	0.0035	collagen, type V, alpha 2
35	ELL2	22936	2.2986	0.0003	elongation factor, RNA polymerase II, 2
36	ARL2BP	23568	2.2983	0.0003	ADP-ribosylation factor-like 2 binding protein
37	MRC2	9902	2.2713	0.0070	mannose receptor, C type 2
38	DCN	1634	2.2710	0.0114	decorin
39	TNC	3371	2.2680	0.0012	tenascin C
40	FNDC3B	64778	2.2612	0.0104	fibronectin type III domain containing 3B
41	HGSNAT	138050	2.2479	0.0011	heparan-alpha-glucosaminide N-acetyltransferase
42	P4HA2	8974	2.2377	0.0018	prolyl 4-hydroxylase, alpha polypeptide II
43	FAM198B	51313	2.2343	0.0013	family with sequence similarity 198, member B
44	FILIP1L	11259	2.2327	0.0017	filamin A interacting protein 1-like
45	SPATA18	132671	2.2289	0.0004	spermatogenesis associated 18
46	PPP1R3C	5507	2.2289	0.0003	protein phosphatase 1, regulatory subunit 3C
47	HIVEP2	3097	2.2250	0.0016	human immunodeficiency virus type I enhancer binding protein 2
48	ZNF436	80818	2.2171	0.0002	zinc finger protein 436
49	GBE1	2632	2.2161	0.0014	glucan (1,4-alpha-), branching enzyme 1
50	MXRA5	25878	2.2157	0.0020	matrix-remodelling associated 5
51	GBP1	2633	2.2118	0.0066	guanylate binding protein 1, interferon-inducible
52	PTX3	5806	2.2095	0.0001	pentraxin 3, long
53	MOXD1	26002	2.2086	0.0011	monooxygenase, DBH-like 1
54	BACE1	23621	2.1994	0.0020	beta-site APP-cleaving enzyme 1
55	IL6ST	3572	2.1948	0.0077	interleukin 6 signal transducer (gp130, oncostatin M receptor)
56	GPX8	493869	2.1917	0.0052	glutathione peroxidase 8 (putative)
57	STXBP5	134957	2.1897	0.0027	syntaxin binding protein 5 (tomosyn)
58	MAP3K2	10746	2.1864	0.0100	mitogen-activated protein kinase kinase kinase 2
59	KDELR3	11015	2.1814	0.0040	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3
60	COL1A2	1278	2.1793	0.0081	collagen, type I, alpha 2
61	GNG12	55970	2.1769	0.0045	guanine nucleotide binding protein (G protein), gamma 12
62	NRP1	8829	2.1734	0.0018	neuropilin 1
63	HDLBP	3069	2.1722	0.0014	high density lipoprotein binding protein
64	TBX3	6926	2.1707	0.0001	T-box 3
65	SEMA3C	10512	2.1705	0.0017	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
