Rank	Gene	Entrez ID	Coexpression Score	P-Value	Description
1	SNX27	81609	3.0000	0.0000	sorting nexin family member 27
2	PIK3R2	5296	2.9600	0.0000	phosphoinositide-3-kinase, regulatory subunit 2 (beta)
3	ALKBH7	84266	2.9500	0.0010	alkB, alkylation repair homolog 7 (E. coli)
4	CUL4B	8450	2.9300	0.0001	cullin 4B
5	FAM53C	51307	2.9200	0.0000	family with sequence similarity 53, member C
6	ULK1	8408	2.8400	0.0010	unc-51-like kinase 1 (C. elegans)
7	ZNF821	55565	2.8300	0.0001	zinc finger protein 821
8	PRKAG1	5571	2.8200	0.0005	protein kinase, AMP-activated, gamma 1 non-catalytic subunit
9	AIFM1	9131	2.8100	0.0006	apoptosis-inducing factor, mitochondrion-associated, 1
10	KCNJ1	3758	2.8100	0.0000	potassium inwardly-rectifying channel, subfamily J, member 1
11	GPD1L	23171	2.8100	0.0000	glycerol-3-phosphate dehydrogenase 1-like
12	TMEM134	80194	2.7700	0.0007	transmembrane protein 134
13	LCMT1	51451	2.7700	0.0007	leucine carboxyl methyltransferase 1
14	CUEDC1	404093	2.7700	0.0000	CUE domain containing 1
15	UBR4	23352	2.7700	0.0020	ubiquitin protein ligase E3 component n-recognin 4
16	DAB2	1601	2.7600	0.0028	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)
17	COX5B	1329	2.7600	0.0051	cytochrome c oxidase subunit Vb
18	CD226	10666	2.7600	0.0000	CD226 molecule
19	NFKB1	4790	2.7500	0.0007	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1
20	GNS	2799	2.7500	0.0063	glucosamine (N-acetyl)-6-sulfatase
21	GNG12	55970	2.7200	0.0020	guanine nucleotide binding protein (G protein), gamma 12
22	VRK3	51231	2.7200	0.0002	vaccinia related kinase 3
23	PPM1M	132160	2.7100	0.0021	protein phosphatase, Mg2+/Mn2+ dependent, 1M
24	PKD1L2	114780	2.7100	0.0003	polycystic kidney disease 1-like 2
25	OCEL1	79629	2.6900	0.0014	occludin/ELL domain containing 1
26	ODZ3	55714	2.6900	0.0000	odz, odd Oz/ten-m homolog 3 (Drosophila)
27	KLHL28	54813	2.6700	0.0009	kelch-like 28 (Drosophila)
28	CHST12	55501	2.6600	0.0001	carbohydrate (chondroitin 4) sulfotransferase 12
29	DCAF5	8816	2.6500	0.0045	DDB1 and CUL4 associated factor 5
30	HSPA5	3309	2.6400	0.0008	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)
31	ALKBH2	121642	2.6400	0.0008	alkB, alkylation repair homolog 2 (E. coli)
32	TACC2	10579	2.6400	0.0003	transforming, acidic coiled-coil containing protein 2
33	PNMAL1	55228	2.6300	0.0001	paraneoplastic Ma antigen family-like 1
34	OMP	4975	2.6300	0.0000	olfactory marker protein
35	TAMM41	132001	2.6300	0.0002	TAM41, mitochondrial translocator assembly and maintenance protein, homolog (S. cerevisiae)
36	ATP5H	10476	2.6200	0.0020	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit d
37	TSNAX	7257	2.6100	0.0048	translin-associated factor X
38	C9ORF152	401546	2.6100	0.0002	chromosome 9 open reading frame 152
39	CNTROB	116840	2.6100	0.0031	centrobin, centrosomal BRCA2 interacting protein
40	HM13	81502	2.6000	0.0020	histocompatibility (minor) 13
41	PSMD9	5715	2.6000	0.0003	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9
42	ZNF776	284309	2.6000	0.0050	zinc finger protein 776
43	SAYSD1	55776	2.5900	0.0001	SAYSVFN motif domain containing 1
44	PRMT2	3275	2.5900	0.0009	protein arginine methyltransferase 2
45	UBE2L6	9246	2.5800	0.0060	ubiquitin-conjugating enzyme E2L 6
46	RUVBL1	8607	2.5800	0.0124	RuvB-like 1 (E. coli)
47	PLLP	51090	2.5800	0.0003	plasmolipin
48	CACNB4	785	2.5700	0.0006	calcium channel, voltage-dependent, beta 4 subunit
49	ASCC1	51008	2.5700	0.0003	activating signal cointegrator 1 complex subunit 1
50	PHF21A	51317	2.5600	0.0045	PHD finger protein 21A
51	ABCC5	10057	2.5600	0.0003	ATP-binding cassette, sub-family C (CFTR/MRP), member 5
52	MX1	4599	2.5500	0.0049	myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)
53	MGLL	11343	2.5500	0.0004	monoglyceride lipase
54	TAGLN2	8407	2.5400	0.0051	transgelin 2
55	RIC3	79608	2.5400	0.0004	resistance to inhibitors of cholinesterase 3 homolog (C. elegans)
56	SPTLC2	9517	2.5300	0.0005	serine palmitoyltransferase, long chain base subunit 2
57	HECTD3	79654	2.5300	0.0027	HECT domain containing E3 ubiquitin protein ligase 3
58	SOCS6	9306	2.5200	0.0002	suppressor of cytokine signaling 6
59	PHKA2	5256	2.5200	0.0027	phosphorylase kinase, alpha 2 (liver)
60	IFI6	2537	2.5200	0.0041	interferon, alpha-inducible protein 6
61	AP1G1	164	2.5200	0.0058	adaptor-related protein complex 1, gamma 1 subunit
