Rank	Gene	Entrez ID	Coexpression Score	P-Value	Description
1	PHACTR2	9749	1.0717	0.0000	phosphatase and actin regulator 2
2	DIP2C	22982	1.0584	0.0001	DIP2 disco-interacting protein 2 homolog C (Drosophila)
3	VSIG10	54621	0.9572	0.0000	V-set and immunoglobulin domain containing 10
4	TGFBR3	7049	0.9122	0.0000	transforming growth factor, beta receptor III
5	PSD3	23362	0.9099	0.0000	pleckstrin and Sec7 domain containing 3
6	TMEM133	83935	0.8887	0.0001	transmembrane protein 133
7	SCHIP1	29970	0.8553	0.0000	schwannomin interacting protein 1
8	GMDS	2762	0.8518	0.0000	GDP-mannose 4,6-dehydratase
9	CAV1	857	0.8458	0.0008	caveolin 1, caveolae protein, 22kDa
10	FLT1	2321	0.8322	0.0000	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)
11	TBC1D5	9779	0.8317	0.0003	TBC1 domain family, member 5
12	GALNT2	2590	0.8282	0.0000	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2)
13	CNTLN	54875	0.8129	0.0003	centlein, centrosomal protein
14	MYH10	4628	0.8067	0.0006	myosin, heavy chain 10, non-muscle
15	FRK	2444	0.8053	0.0000	fyn-related kinase
16	SMARCA1	6594	0.7991	0.0009	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1
17	TSPAN5	10098	0.7967	0.0000	tetraspanin 5
18	LMO7	4008	0.7898	0.0002	LIM domain 7
19	BHLHB9	80823	0.7881	0.0003	basic helix-loop-helix domain containing, class B, 9
20	ROR1	4919	0.7826	0.0000	receptor tyrosine kinase-like orphan receptor 1
21	KSR2	283455	0.7821	0.0000	kinase suppressor of ras 2
22	DPYD	1806	0.7815	0.0025	dihydropyrimidine dehydrogenase
23	PPP1R9A	55607	0.7750	0.0003	protein phosphatase 1, regulatory subunit 9A
24	TNS3	64759	0.7732	0.0005	tensin 3
25	ZNF827	152485	0.7726	0.0001	zinc finger protein 827
26	LOC728175	728175	0.7671	0.0000	uncharacterized LOC728175
27	FAM176A	84141	0.7661	0.0001	family with sequence similarity 176, member A
28	PLD1	5337	0.7626	0.0002	phospholipase D1, phosphatidylcholine-specific
29	FRMD4A	55691	0.7604	0.0000	FERM domain containing 4A
30	DOCK1	1793	0.7593	0.0013	dedicator of cytokinesis 1
31	VAMP5	10791	0.7532	0.0010	vesicle-associated membrane protein 5 (myobrevin)
