Rank	Gene	Entrez ID	Coexpression Score	P-Value	Description
1	GADD45A	1647	1.0583	0.0000	growth arrest and DNA-damage-inducible, alpha
2	FAM100B	283991	0.9883	0.0000	family with sequence similarity 100, member B
3	AGBL4	84871	0.9825	1.0000	ATP/GTP binding protein-like 4
4	SESN3	143686	0.9783	0.0000	sestrin 3
5	FAM46C	54855	0.9700	0.0000	family with sequence similarity 46, member C
6	ISCU	23479	0.9517	0.0001	iron-sulfur cluster scaffold homolog (E. coli)
7	C11ORF52	91894	0.9450	0.0000	chromosome 11 open reading frame 52
8	DPCD	25911	0.9383	0.0004	deleted in primary ciliary dyskinesia homolog (mouse)
9	C1ORF81	647215	0.9367	1.0000	chromosome 1 open reading frame 81
10	C14ORF45	80127	0.9233	0.0006	chromosome 14 open reading frame 45
11	EIF1B	10289	0.9133	0.0004	eukaryotic translation initiation factor 1B
12	MXI1	4601	0.9067	0.0002	MAX interactor 1
13	RIOK3	8780	0.8950	0.0009	RIO kinase 3 (yeast)
14	TEKT2	27285	0.8867	0.0000	tektin 2 (testicular)
15	ISCA1	81689	0.8833	0.0001	iron-sulfur cluster assembly 1 homolog (S. cerevisiae)
16	DNAJA4	55466	0.8800	0.0000	DnaJ (Hsp40) homolog, subfamily A, member 4
17	THSD7A	221981	0.8733	0.0000	thrombospondin, type I, domain containing 7A
18	MIPOL1	145282	0.8733	0.0000	mirror-image polydactyly 1
19	TTC25	83538	0.8700	0.0004	tetratricopeptide repeat domain 25
20	TDGF1P3	6998	0.8667	1.0000	teratocarcinoma-derived growth factor 1 pseudogene 3
21	SLC2A1	6513	0.8667	0.0005	solute carrier family 2 (facilitated glucose transporter), member 1
22	FAM154B	283726	0.8650	1.0000	family with sequence similarity 154, member B
23	FHL2	2274	0.8567	0.0002	four and a half LIM domains 2
24	TBPL1	9519	0.8533	0.0005	TBP-like 1
25	EPHA3	2042	0.8533	0.0003	EPH receptor A3
26	IGF2	3481	0.8525	1.0000	insulin-like growth factor 2 (somatomedin A)
27	WDR26	80232	0.8500	0.0044	WD repeat domain 26
28	HEPACAM2	253012	0.8467	0.0000	HEPACAM family member 2
29	BMPR1B	658	0.8383	0.0002	bone morphogenetic protein receptor, type IB
30	KRT16P2	400578	0.8350	1.0000	keratin 16 pseudogene 2
31	YOD1	55432	0.8283	0.0001	YOD1 OTU deubiquinating enzyme 1 homolog (S. cerevisiae)
32	MAP1A	4130	0.8267	0.0044	microtubule-associated protein 1A
33	FBXO15	201456	0.8267	0.0001	F-box protein 15
34	C20ORF111	51526	0.8233	0.0006	chromosome 20 open reading frame 111
35	FAM41C	284593	0.8225	1.0000	family with sequence similarity 41, member C
36	HNF4G	3174	0.8217	0.0000	hepatocyte nuclear factor 4, gamma
37	RBM38	55544	0.8183	0.0004	RNA binding motif protein 38
38	CORT	1325	0.8100	1.0000	cortistatin
39	PDLIM4	8572	0.8083	0.0007	PDZ and LIM domain 4
40	NME5	8382	0.8033	0.0006	NME/NM23 family member 5
41	ZNF841	284371	0.8025	1.0000	zinc finger protein 841
42	TERF2IP	54386	0.8000	0.0010	telomeric repeat binding factor 2, interacting protein
43	C4B	721	0.7975	1.0000	complement component 4B (Chido blood group)
44	C12ORF63	374467	0.7975	1.0000	chromosome 12 open reading frame 63
45	DARC	2532	0.7967	0.0006	Duffy blood group, chemokine receptor
46	CCT6P1	643253	0.7925	1.0000	chaperonin containing TCP1, subunit 6 (zeta) pseudogene 1
47	OR2W3	343171	0.7900	1.0000	olfactory receptor, family 2, subfamily W, member 3
48	C6ORF141	135398	0.7900	1.0000	chromosome 6 open reading frame 141
49	C5ORF62	85027	0.7867	0.0000	chromosome 5 open reading frame 62
50	SNAI2	6591	0.7867	0.0015	snail homolog 2 (Drosophila)
51	KANK2	25959	0.7850	0.0029	KN motif and ankyrin repeat domains 2
52	VWCE	220001	0.7850	0.0000	von Willebrand factor C and EGF domains
53	C7ORF73	647087	0.7840	0.0016	chromosome 7 open reading frame 73
54	PNMA1	9240	0.7833	0.0011	paraneoplastic Ma antigen 1
55	EDN2	1907	0.7833	0.0000	endothelin 2
56	SNTG2	54221	0.7817	0.0000	syntrophin, gamma 2
57	LRRIQ3	127255	0.7817	0.0000	leucine-rich repeats and IQ motif containing 3
58	LOC285074	285074	0.7775	1.0000	anaphase promoting complex subunit 1 pseudogene
59	FAM25A	643161	0.7750	1.0000	family with sequence similarity 25, member A
60	SELK	58515	0.7750	0.0014	selenoprotein K
61	SERPINB3	6317	0.7733	0.0005	serpin peptidase inhibitor, clade B (ovalbumin), member 3
62	COL21A1	81578	0.7700	0.0000	collagen, type XXI, alpha 1
63	GSPT1	2935	0.7700	0.0061	G1 to S phase transition 1
64	MYRIP	25924	0.7700	0.0004	myosin VIIA and Rab interacting protein
65	LOC100127886	100127886	0.7667	1.0000	uncharacterized LOC100127886
66	FAM92A1P2	403315	0.7633	1.0000	family with sequence similarity 92, member A3
67	TCEA1	6917	0.7600	1.0000	transcription elongation factor A (SII), 1
68	GOLGA6C	653641	0.7600	1.0000	golgin A6 family, member C
69	ANGPTL5	253935	0.7600	1.0000	angiopoietin-like 5
70	ZRANB1	54764	0.7583	0.0084	zinc finger, RAN-binding domain containing 1
71	PIP4K2A	5305	0.7583	0.0001	phosphatidylinositol-5-phosphate 4-kinase, type II, alpha
72	FLT1	2321	0.7580	0.0006	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)
73	RNF11	26994	0.7567	0.0233	ring finger protein 11
74	AGT	183	0.7533	0.0000	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)
75	TUSC3	7991	0.7517	0.0001	tumor suppressor candidate 3
76	TSPYL2	64061	0.7517	0.0029	TSPY-like 2
77	PPM1A	5494	0.7517	0.0104	protein phosphatase, Mg2+/Mn2+ dependent, 1A
78	SRCIN1	80725	0.7500	0.0012	SRC kinase signaling inhibitor 1
79	RPIA	22934	0.7483	0.0002	ribose 5-phosphate isomerase A
80	USP12	219333	0.7483	0.0002	ubiquitin specific peptidase 12
81	LINC00602	441177	0.7475	1.0000	long intergenic non-protein coding RNA 602
82	PCGF5	84333	0.7450	0.0103	polycomb group ring finger 5
83	YPEL5	51646	0.7433	0.0397	yippee-like 5 (Drosophila)
84	C4ORF47	441054	0.7417	0.0004	chromosome 4 open reading frame 47
85	SEC14L1	6397	0.7400	0.0010	SEC14-like 1 (S. cerevisiae)
86	C21ORF58	54058	0.7400	0.0064	chromosome 21 open reading frame 58
87	PPP1R42	286187	0.7400	1.0000	protein phosphatase 1, regulatory subunit 42
88	SPATA4	132851	0.7400	0.0014	spermatogenesis associated 4
89	CCDC144A	9720	0.7367	1.0000	coiled-coil domain containing 144A
90	CD69	969	0.7367	0.0033	CD69 molecule
91	CCDC11	220136	0.7350	0.0005	coiled-coil domain containing 11
92	GJA9	81025	0.7325	0.0004	gap junction protein, alpha 9, 59kDa
93	SLC7A5	8140	0.7317	0.0022	solute carrier family 7 (amino acid transporter light chain, L system), member 5
94	NTAN1	123803	0.7317	0.0020	N-terminal asparagine amidase
95	UBE2D3	7323	0.7300	0.0160	ubiquitin-conjugating enzyme E2D 3
96	HYDIN	54768	0.7300	0.0039	HYDIN, axonemal central pair apparatus protein
97	DDIT4	54541	0.7300	0.0004	DNA-damage-inducible transcript 4
98	LOC100134229	100134229	0.7300	0.0001	uncharacterized LOC100134229
99	UIMC1	51720	0.7283	0.0010	ubiquitin interaction motif containing 1
100	FOXO3	2309	0.7267	0.0012	forkhead box O3
101	OSBPL6	114880	0.7267	0.0001	oxysterol binding protein-like 6
102	HIST1H2AH	85235	0.7250	1.0000	histone cluster 1, H2ah
103	EXOC6B	23233	0.7250	1.0000	exocyst complex component 6B
104	USP32P1	162632	0.7233	1.0000	ubiquitin specific peptidase 32 pseudogene 1
105	LRRC32	2615	0.7217	0.0151	leucine rich repeat containing 32
106	FAM183A	440585	0.7200	1.0000	family with sequence similarity 183, member A
107	CTNNAL1	8727	0.7183	0.0021	catenin (cadherin-associated protein), alpha-like 1
108	FLJ38379	285097	0.7160	0.0000	uncharacterized FLJ38379
109	KLF9	687	0.7133	0.0046	Kruppel-like factor 9
110	TMOD1	7111	0.7117	0.0003	tropomodulin 1
111	TOP1P2	7152	0.7100	1.0000	topoisomerase (DNA) I pseudogene 2
112	PCDHGB2	56103	0.7100	1.0000	protocadherin gamma subfamily B, 2
113	PDE6A	5145	0.7100	0.0000	phosphodiesterase 6A, cGMP-specific, rod, alpha
114	SAMD8	142891	0.7100	0.0119	sterile alpha motif domain containing 8
115	PCDHB18	54660	0.7080	0.0001	protocadherin beta 18 pseudogene
116	UBXN6	80700	0.7050	0.0272	UBX domain protein 6
