Rank	Gene	Entrez ID	Coexpression Score	P-Value	Description
1	FAM126B	285172	2.7587	0.0000	family with sequence similarity 126, member B
2	NFIB	4781	2.7155	0.0000	nuclear factor I/B
3	ATAD2B	54454	2.6526	0.0003	ATPase family, AAA domain containing 2B
4	FAM13B	51306	2.6125	0.0005	family with sequence similarity 13, member B
5	HMGN5	79366	2.5948	0.0000	high mobility group nucleosome binding domain 5
6	ARHGEF12	23365	2.5695	0.0006	Rho guanine nucleotide exchange factor (GEF) 12
7	SRFBP1	153443	2.5614	0.0017	serum response factor binding protein 1
8	IL17D	53342	2.5419	0.0000	interleukin 17D
9	CCDC50	152137	2.5249	0.0000	coiled-coil domain containing 50
10	SPOPL	339745	2.5241	0.0028	speckle-type POZ protein-like
11	BAZ2B	29994	2.5223	0.0054	bromodomain adjacent to zinc finger domain, 2B
12	SPIN1	10927	2.5000	0.0003	spindlin 1
13	TPD52L1	7164	2.4756	0.0000	tumor protein D52-like 1
14	ARHGAP5	394	2.4668	0.0010	Rho GTPase activating protein 5
15	FABP4	2167	2.4514	0.0000	fatty acid binding protein 4, adipocyte
16	PDS5B	23047	2.4491	0.0039	PDS5, regulator of cohesion maintenance, homolog B (S. cerevisiae)
17	FBXW2	26190	2.4317	0.0000	F-box and WD repeat domain containing 2
18	ARHGAP29	9411	2.4265	0.0001	Rho GTPase activating protein 29
19	DIP2B	57609	2.4263	0.0003	DIP2 disco-interacting protein 2 homolog B (Drosophila)
20	FAR1	84188	2.4047	0.0018	fatty acyl CoA reductase 1
21	SLC44A1	23446	2.3951	0.0001	solute carrier family 44, member 1
22	SESTD1	91404	2.3927	0.0002	SEC14 and spectrin domains 1
23	PLSCR4	57088	2.3754	0.0059	phospholipid scramblase 4
24	CAV2	858	2.3638	0.0024	caveolin 2
25	TANC1	85461	2.3612	0.0001	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1
26	ACVR1C	130399	2.3510	0.0000	activin A receptor, type IC
27	FAT4	79633	2.3457	0.0018	FAT tumor suppressor homolog 4 (Drosophila)
28	PKN2	5586	2.3443	0.0028	protein kinase N2
29	MKL2	57496	2.3400	0.0009	MKL/myocardin-like 2
30	GIMAP6	474344	2.3361	0.0013	GTPase, IMAP family member 6
31	ANKRD12	23253	2.3186	0.0152	ankyrin repeat domain 12
32	GUSBP1	728411	2.3164	0.0000	glucuronidase, beta pseudogene 1
33	TRPC1	7220	2.3137	0.0067	transient receptor potential cation channel, subfamily C, member 1
34	IFT80	57560	2.3129	0.0117	intraflagellar transport 80 homolog (Chlamydomonas)
35	MON2	23041	2.3100	0.0085	MON2 homolog (S. cerevisiae)
36	GDAP2	54834	2.3021	0.0012	ganglioside induced differentiation associated protein 2
37	SECISBP2L	9728	2.2993	0.0070	SECIS binding protein 2-like
38	ADH1B	125	2.2943	0.0013	alcohol dehydrogenase 1B (class I), beta polypeptide
39	ESRRG	2104	2.2887	0.0005	estrogen-related receptor gamma
40	SNRK	54861	2.2866	0.0050	SNF related kinase
41	XRN1	54464	2.2821	0.0306	5-3 exoribonuclease 1
42	CTTNBP2NL	55917	2.2805	0.0022	CTTNBP2 N-terminal like
43	COL21A1	81578	2.2784	0.0000	collagen, type XXI, alpha 1
44	LPCAT2	54947	2.2739	0.0006	lysophosphatidylcholine acyltransferase 2
45	SGMS2	166929	2.2715	0.0027	sphingomyelin synthase 2
