Rank	Gene	Entrez ID	Coexpression Score	P-Value	Description
1	C7ORF73	647087	2.7056	0.0000	chromosome 7 open reading frame 73
2	INADL	10207	2.6135	0.0000	InaD-like (Drosophila)
3	LOC729852	729852	2.6045	0.0012	uncharacterized LOC729852
4	CEP112	201134	2.5857	0.0000	centrosomal protein 112kDa
5	NCOA2	10499	2.5764	0.0003	nuclear receptor coactivator 2
6	RBFOX2	23543	2.5113	0.0002	RNA binding protein, fox-1 homolog (C. elegans) 2
7	CAMKMT	79823	2.5008	0.0002	calmodulin-lysine N-methyltransferase
8	UTRN	7402	2.4824	0.0000	utrophin
9	MCCC1	56922	2.4747	0.0000	methylcrotonoyl-CoA carboxylase 1 (alpha)
10	IGF1R	3480	2.4721	0.0000	insulin-like growth factor 1 receptor
11	TANC2	26115	2.4713	0.0000	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2
12	ZNF652	22834	2.4709	0.0003	zinc finger protein 652
13	GLG1	2734	2.4707	0.0012	golgi glycoprotein 1
14	SSBP2	23635	2.4645	0.0001	single-stranded DNA binding protein 2
15	TNKS	8658	2.4613	0.0008	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase
16	ZBTB20	26137	2.4567	0.0044	zinc finger and BTB domain containing 20
17	PSD3	23362	2.4517	0.0000	pleckstrin and Sec7 domain containing 3
18	BCAS3	54828	2.4427	0.0005	breast carcinoma amplified sequence 3
19	TBC1D5	9779	2.4328	0.0004	TBC1 domain family, member 5
20	CERS6	253782	2.4318	0.0000	ceramide synthase 6
21	UST	10090	2.4302	0.0000	uronyl-2-sulfotransferase
22	ATF2	1386	2.4280	0.0016	activating transcription factor 2
23	TMEM245	23731	2.4159	0.0013	transmembrane protein 245
24	IGF2R	3482	2.4133	0.0011	insulin-like growth factor 2 receptor
25	PGM2L1	283209	2.4074	0.0001	phosphoglucomutase 2-like 1
26	ARHGAP35	2909	2.3987	0.0006	Rho GTPase activating protein 35
27	CLASP1	23332	2.3965	0.0015	cytoplasmic linker associated protein 1
28	RHOT1	55288	2.3960	0.0053	ras homolog family member T1
29	LEPR	3953	2.3928	0.0024	leptin receptor
30	VEZF1	7716	2.3805	0.0017	vascular endothelial zinc finger 1
31	CRYAB	1410	2.3800	0.0011	crystallin, alpha B
32	STK3	6788	2.3749	0.0002	serine/threonine kinase 3
33	EEA1	8411	2.3730	0.0027	early endosome antigen 1
34	MIR100HG	399959	2.3723	0.0005	mir-100-let-7a-2 cluster host gene (non-protein coding)
35	TRIO	7204	2.3681	0.0017	trio Rho guanine nucleotide exchange factor
36	FAM172A	83989	2.3557	0.0035	family with sequence similarity 172, member A
37	SCARB2	950	2.3521	0.0057	scavenger receptor class B, member 2
38	PAM	5066	2.3464	0.0075	peptidylglycine alpha-amidating monooxygenase
39	UBR3	130507	2.3457	0.0274	ubiquitin protein ligase E3 component n-recognin 3 (putative)
40	GATS	352954	2.3442	0.0005	GATS, stromal antigen 3 opposite strand
41	ADAM9	8754	2.3414	0.0114	ADAM metallopeptidase domain 9
42	COL4A5	1287	2.3372	0.0008	collagen, type IV, alpha 5
43	SNTB2	6645	2.3349	0.0003	syntrophin, beta 2 (dystrophin-associated protein A1, 59kDa, basic component 2)
44	HIP1	3092	2.3341	0.0004	huntingtin interacting protein 1
45	MBNL2	10150	2.3305	0.0030	muscleblind-like splicing regulator 2
46	GULP1	51454	2.3298	0.0003	GULP, engulfment adaptor PTB domain containing 1
47	ZAK	51776	2.3223	0.0005	sterile alpha motif and leucine zipper containing kinase AZK
48	LOC283070	283070	2.3213	0.0005	uncharacterized LOC283070
49	BBX	56987	2.3210	0.0049	bobby sox homolog (Drosophila)
50	LIMCH1	22998	2.3133	0.0009	LIM and calponin homology domains 1
51	ZNF148	7707	2.3122	0.0073	zinc finger protein 148
52	TTC28	23331	2.3111	0.0017	tetratricopeptide repeat domain 28
53	SBF2	81846	2.3035	0.0055	SET binding factor 2
54	FBXL20	84961	2.2996	0.0005	F-box and leucine-rich repeat protein 20
55	CMTM8	152189	2.2993	0.0001	CKLF-like MARVEL transmembrane domain containing 8
56	WDPCP	51057	2.2993	0.0000	WD repeat containing planar cell polarity effector
57	SESTD1	91404	2.2978	0.0010	SEC14 and spectrin domains 1
58	CCNY	219771	2.2956	0.0009	cyclin Y
59	KDM5A	5927	2.2954	0.0065	lysine (K)-specific demethylase 5A
60	ZNF618	114991	2.2944	0.0003	zinc finger protein 618
61	NEBL	10529	2.2941	0.0009	nebulette
62	ATRX	546	2.2890	0.0146	alpha thalassemia/mental retardation syndrome X-linked
63	PDE1A	5136	2.2870	0.0005	phosphodiesterase 1A, calmodulin-dependent
